대여소번호,대여소명,자치구,주소,위도,경도,설치시기,LCD,QR,운영방식
2427.0,개포고등학교 정문앞,강남구,강남구 개포로402,37.48485184,127.0583725,2020-02-18 00:00:00,0,10,QR
2428.0,롯데리아 개포점앞,강남구,강남구 선릉로26,37.48236847,127.06118774,2020-02-18 00:00:00,0,10,QR
2429.0,압구정로데오역 6번출구,강남구,선릉로845,37.52745438,127.04042816,2020-02-14 00:00:00,0,10,QR
2430.0,강남파이낸스센터앞(역삼역2번출구),강남구,테헤란로152,37.50024414,127.03605652,2020-02-14 00:00:00,0,10,QR
2431.0,대치역 7번출구,강남구,남부순환로155,37.49411774,127.06290436,2020-02-18 00:00:00,0,10,QR
3603.0, 삼성역 2번출구,강남구,영동대로606앞,37.5082016,127.06396484,2021-02-23 00:00:00,0,10,QR
3604.0, 삼성중앙역 5번출구,강남구,삼성동145-1,37.51296234,127.05386353,2021-02-23 00:00:00,0,15,QR
3605.0, 봉은사역6번출구(현대아이파크타워앞),강남구,삼성동160,37.51390839,127.06072998,2021-02-23 00:00:00,0,10,QR
3606.0, 신사동주민센터 옆,강남구,압구정로 130,37.52422714,127.02285004,2021-02-24 00:00:00,0,10,QR
3609.0, 언주초등학교 입구,강남구,남부순환로2641,37.48536682,127.03849792,2021-02-24 00:00:00,0,16,QR
3610.0, 윗반마을 입구,강남구,세곡동 97-3,37.46534729,127.1088028,2021-02-23 00:00:00,0,10,QR
3611.0, 방죽마을 입구,강남구,율현동 264-5,37.47123337,127.10721588,2021-02-23 00:00:00,0,16,QR
3612.0, 은곡마을,강남구,세곡동 548(도담공원~행복공원 사이),37.46726227,127.09801483,2021-02-23 00:00:00,0,10,QR
3614.0, 은마아파트 입구 사거리,강남구,삼성로237(정성한줄 대치점 앞),37.49840164,127.06093597,2021-02-24 00:00:00,0,10,QR
3615.0, 서울 논현동우체국 앞,강남구,학동로212,37.51446152,127.0326004,2021-02-24 00:00:00,0,10,QR
3616.0, 역삼중학교 앞(체육관 방향),강남구,도곡로43길 10,37.49526215,127.04950714,2021-02-24 00:00:00,0,10,QR
3618.0, 서울율현초교 삼거리,강남구,밤고개로 231,37.47364044,127.10702515,2021-02-23 00:00:00,0,10,QR
3620.0, 청담역 11번 출구,강남구,학동로87길 7,37.51925659,127.0515976,2021-02-23 00:00:00,0,10,QR
3621.0, 휘문고교 사거리,강남구,영동대로 319,37.50286484,127.06594086,2021-02-23 00:00:00,0,10,QR
3622.0, 은마아파트입구 사거리(1),강남구,삼성로 312,37.49986649,127.0605011,2021-02-23 00:00:00,0,7,QR
3623.0, 일원에코파크 앞(개포로 방면),강남구,개포로 670,37.49587631,127.08650208,2021-02-24 00:00:00,0,10,QR
3624.0, 대모산입구역 7번 출구 앞,강남구,개포로 522(사진참고),37.49017715,127.07305908,2021-02-24 00:00:00,0,10,QR
3627.0, 압구정나들목,강남구,압구정동 507,37.53075027,127.04160309,2021-02-24 00:00:00,0,10,QR
3602.0, 한국지역난방공사강남지사,강남구,양재대로 781,37.49229431,127.09433746,2020-11-09 00:00:00,0,5,QR
3628.0, 역삼1동 주민센터,강남구,역삼로 7길 16,37.49521255,127.03302765,2021-02-24 00:00:00,0,10,QR
3629.0, 청담사거리(신한오피스텔빌딩 앞),강남구,도산대로 510,37.52416229,127.0489502,2021-02-23 00:00:00,0,4,QR
3630.0, 개포우성6차아파트 정문 앞,강남구,언주로 3,37.47685623,127.05536652,2021-02-24 00:00:00,0,10,QR
3634.0, 국악고교 앞 교차로,강남구,논현로 34,37.47402191,127.04844666,2021-04-27 00:00:00,0,5,QR
3636.0, 삼성중앙역·플래티넘아파트 정류소,강남구,봉은사로 471,37.51264191,127.05156708,2021-06-01 00:00:00,0,5,QR
3637.0, 세곡데이케어센터,강남구,헌릉로 590길 68,37.46072388,127.10287476,2021-06-01 00:00:00,0,10,QR
3638.0, 신청담나들목,강남구,강변오솔길,37.52796173,127.05162811,2021-06-01 00:00:00,0,5,QR
3640.0, 일원1동주민센터앞 사거리,강남구,강남구 일원동 645-13,37.4909668,127.08836365,2021-06-17 00:00:00,0,7,QR
3641.0, 대청역,강남구,강남구 일원로 7,37.49370575,127.0799942,2021-07-13 00:00:00,0,10,QR
3642.0, LH강남힐스테이트아파트,강남구,자곡로3길 21,37.47092819,127.08970642,2021-08-30 00:00:00,0,13,QR
3643.0, 더시그넘하우스 앞,강남구,자곡로 174-14,37.47267914,127.10375977,2021-07-13 00:00:00,0,5,QR
3644.0, 상록수아파트,강남구,광평로10길 15,37.48276138,127.08042145,2021-07-13 00:00:00,0,5,QR
3646.0, 선정릉역 4번 출구,강남구,강남구 봉은사로 326,37.5097847,127.04277039,2021-08-03 00:00:00,0,7,QR
3647.0, 구룡역 1번 출구,강남구,개포동 175-3,37.48642349,127.05931854,2021-10-01 00:00:00,0,10,QR
3648.0, 구룡역 4번 출구,강남구,개포동 156-17,37.48670578,127.0605011,2021-10-01 00:00:00,0,5,QR
3649.0, 구룡역 5번 출구,강남구,개포동 181-1,37.48607635,127.05921936,2021-10-01 00:00:00,0,6,QR
3651.0, 개포동역 4번출구,강남구,"강남구 개포동 182-4
(개포동역 4번출구)",37.48929596,127.06616974,2022-02-10 00:00:00,0,5,QR
