대여소번호,대여소명,자치구,주소,위도,경도
2425,세곡동 사거리(대왕초등학교 정류장),강남구,헌릉로618길 8,37.46461868,127.10684967
2426,강남한신휴플러스 6단지,강남구,강남구 율현동 333-1,37.46829605,127.10469818
2427,개포고등학교 정문앞,강남구,강남구 개포로402,37.48485184,127.0583725
2430,강남파이낸스센터앞(역삼역2번출구),강남구,테헤란로152,37.50024414,127.03605652
2431,대치역 7번출구,강남구,남부순환로155,37.49411774,127.06290436
3602, 한국지역난방공사강남지사,강남구,양재대로 781,37.49229431,127.09433746
3603, 삼성역 2번출구,강남구,영동대로606앞,37.5082016,127.06396484
3604, 삼성중앙역 5번출구,강남구,삼성동145-1,37.51296234,127.05386353
3605, 봉은사역6번출구(현대아이파크타워앞),강남구,삼성동160,37.51390839,127.06072998
3606, 신사동주민센터 옆,강남구,압구정로 130,37.52422714,127.02285004
3609, 언주초등학교 입구,강남구,남부순환로2641,37.48536682,127.03849792
3610, 윗반마을 입구,강남구,세곡동 97-3,37.46534729,127.1088028
3611, 방죽마을 입구,강남구,율현동 264-5,37.47123337,127.10721588
3612, 은곡마을,강남구,세곡동 548(도담공원~행복공원 사이),37.46726227,127.09801483
3614, 은마아파트 입구 사거리,강남구,삼성로237(정성한줄 대치점 앞),37.49840164,127.06093597
3615, 서울 논현동우체국 앞,강남구,학동로212,37.51446152,127.0326004
3616, 역삼중학교 앞(체육관 방향),강남구,도곡로43길 10,37.49526215,127.04950714
3618, 서울율현초교 삼거리,강남구,밤고개로 231,37.47364044,127.10702515
3620, 청담역 11번 출구,강남구,학동로87길 7,37.51925659,127.0515976
3621, 휘문고교 사거리,강남구,영동대로 319,37.50286484,127.06594086
3622, 은마아파트입구 사거리(1),강남구,삼성로 312,37.49986649,127.0605011
3623, 일원에코파크 앞(개포로 방면),강남구,개포로 670,37.49587631,127.08650208
3624, 대모산입구역 7번 출구 앞,강남구,개포로 522(사진참고),37.49017715,127.07305908
3627, 압구정나들목,강남구,압구정동 507,37.53075027,127.04160309
3628, 역삼1동 주민센터,강남구,역삼로 7길 16,37.49521255,127.03302765
3629, 청담사거리(신한오피스텔빌딩 앞),강남구,도산대로 510,37.52416229,127.0489502
3630, 개포우성6차아파트 정문 앞,강남구,언주로 3,37.47685623,127.05536652
3634, 국악고교 앞 교차로,강남구,논현로 34,37.47402191,127.04844666
3636, 삼성중앙역·플래티넘아파트 정류소,강남구,봉은사로 471,37.51264191,127.05156708
3637, 세곡데이케어센터,강남구,헌릉로 590길 68,37.46072388,127.10287476
3638, 신청담나들목,강남구,강변오솔길,37.52796173,127.05162811
3640, 일원1동주민센터앞 사거리,강남구,강남구 일원동 645-13,37.4909668,127.08836365
3641, 대청역,강남구,강남구 일원로 7,37.49370575,127.0799942
3642, LH강남힐스테이트아파트,강남구,자곡로3길 21,37.47092819,127.08970642
3643, 더시그넘하우스 앞,강남구,자곡로 174-14,37.47267914,127.10375977
3644, 상록수아파트,강남구,광평로10길 15,37.48276138,127.08042145
3646, 선정릉역 4번 출구,강남구,강남구 봉은사로 326,37.5097847,127.04277039
3647, 구룡역 1번 출구,강남구,개포동 175-3,37.48642349,127.05931854
3648, 구룡역 4번 출구,강남구,개포동 156-17,37.48670578,127.0605011
3649, 구룡역 5번 출구,강남구,개포동 181-1,37.48607635,127.05921936
3651, 개포동역 4번출구,강남구,"강남구 개포동 182-4
(개포동역 4번출구)",37.48929596,127.06616974
4901,KT&G타워 옆(상상마당 대치아트홀),강남구,강남구 대치동 1002,37.50687408,127.06473541
4902, 구역삼세무서 교차로,강남구,강남구 논현로 337,37.49524307,127.03937531
4903, 신사스퀘어,강남구,신사동 504-11,37.51916885,127.0189743
4905, 강남경찰서,강남구,강남구 대치동 998,37.50971985,127.06679535
4906, 섬유센터 앞,강남구,강남구 대치동 944-1,37.50767136,127.06017303
4907, 극동스포츠 앞,강남구,강남구 신사동 575,37.5257225,127.02588654
4908, SB타워 앞,강남구,강남구 도산대로 318,37.52210999,127.03646088
4909, 노보텔 앰배서더 앞,강남구,강남구 봉은사로 130,37.50570297,127.02919769
4913, 레베쌍트 빌딩 앞,강남구,봉은사로86길 6,37.51292038,127.056427
4914, 도심공항타워 앞,강남구,삼성동 159-9,37.50999069,127.05847168
4915, 영동중앙교회 버스정류장,강남구,강남구 논현로 420,37.49775314,127.03857422
4916, 청담역 1번출구,강남구,강남구 영동대로 648,37.51973724,127.05767822
4917,일원에코파크 주차장,강남구,강남구 일원동 701-2,37.49404526,127.08678436
4918,매봉역 1번출구,강남구,강남구 도곡동 180-26,37.48661041,127.04550934
4919,학여울역사거리(은마아파트),강남구,강남구 대치동 398,37.49665833,127.06938171
4923,수협대치동지점,강남구,서울특별시 강남구 영동대로 214-2,37.49861526,127.0683136
4924,논현동가구거리,강남구,강남구 논현동 56-21,37.51280975,127.02636719
4925,청담백영빌딩 앞,강남구,강남구 도산대로 456,37.52390289,127.04660797
4926,대치우성아파트 사거리,강남구,강남구 영동대로 230,37.50099564,127.06803894
4928,교수마을 입구,강남구,강남구 자곡동 203-1,37.4818573,127.10456085
4929,파스쿠찌 청담사거리점 앞,강남구,강남구 도산대로 509,37.52464676,127.04914856
4930,학여울역 1번 출구,강남구,강남구 대치동 13-9,37.49662018,127.07099915
