target,granularity,year,key,series,value
rental_count,month,2025,8,actual_value,1.3346774193548387
rental_count,month,2025,8,prediction,1.3882376986612857
rental_count,month,2025,9,actual_value,1.336111111111111
rental_count,month,2025,9,prediction,1.5125203977856985
rental_count,month,2025,10,actual_value,1.2298387096774193
rental_count,month,2025,10,prediction,1.560721828760318
rental_count,month,2025,11,actual_value,1.2597222222222222
rental_count,month,2025,11,prediction,1.2688505106341965
rental_count,month,2025,12,actual_value,0.6774193548387096
rental_count,month,2025,12,prediction,0.7216578240743677
return_count,hour,2023,0,actual_value,0.5780821917808219
return_count,hour,2023,0,prediction,0.7631766708255197
return_count,hour,2023,1,actual_value,0.3972602739726027
return_count,hour,2023,1,prediction,0.6862251774427158
return_count,hour,2023,2,actual_value,0.29863013698630136
return_count,hour,2023,2,prediction,0.5056681479275006
return_count,hour,2023,3,actual_value,0.1726027397260274
return_count,hour,2023,3,prediction,0.19661690145807914
return_count,hour,2023,4,actual_value,0.20273972602739726
return_count,hour,2023,4,prediction,0.09274516929518416
return_count,hour,2023,5,actual_value,0.13424657534246576
return_count,hour,2023,5,prediction,0.10224603214082857
return_count,hour,2023,6,actual_value,0.3424657534246575
return_count,hour,2023,6,prediction,0.4803188177938629
return_count,hour,2023,7,actual_value,1.810958904109589
return_count,hour,2023,7,prediction,1.4055131767477411
return_count,hour,2023,8,actual_value,2.0383561643835617
return_count,hour,2023,8,prediction,1.9449017549266407
return_count,hour,2023,9,actual_value,2.2164383561643834
return_count,hour,2023,9,prediction,2.1435411004932736
return_count,hour,2023,10,actual_value,1.6931506849315068
return_count,hour,2023,10,prediction,1.666813975750285
return_count,hour,2023,11,actual_value,1.6849315068493151
return_count,hour,2023,11,prediction,1.7917240757830102
return_count,hour,2023,12,actual_value,2.526027397260274
return_count,hour,2023,12,prediction,2.5685712869995827
return_count,hour,2023,13,actual_value,2.4876712328767123
return_count,hour,2023,13,prediction,2.5228829048944355
return_count,hour,2023,14,actual_value,1.7178082191780821
return_count,hour,2023,14,prediction,2.141601840195104
return_count,hour,2023,15,actual_value,2.186301369863014
return_count,hour,2023,15,prediction,2.217539553714024
return_count,hour,2023,16,actual_value,3.0054794520547947
return_count,hour,2023,16,prediction,2.6737678744206645
return_count,hour,2023,17,actual_value,3.671232876712329
return_count,hour,2023,17,prediction,3.526561413385816
return_count,hour,2023,18,actual_value,3.4356164383561643
return_count,hour,2023,18,prediction,3.2455684726845435
return_count,hour,2023,19,actual_value,2.372602739726027
return_count,hour,2023,19,prediction,2.373617371844724
return_count,hour,2023,20,actual_value,1.704109589041096
return_count,hour,2023,20,prediction,1.913823605248557
return_count,hour,2023,21,actual_value,1.7808219178082192
return_count,hour,2023,21,prediction,1.8505002135835333
return_count,hour,2023,22,actual_value,1.7452054794520548
return_count,hour,2023,22,prediction,1.4891342906393388
return_count,hour,2023,23,actual_value,1.0328767123287672
return_count,hour,2023,23,prediction,0.9403762972601769
return_count,month,2023,1,actual_value,0.6989247311827957
return_count,month,2023,1,prediction,0.9704110891716655
return_count,month,2023,2,actual_value,1.1130952380952381
return_count,month,2023,2,prediction,1.0973067120466802
return_count,month,2023,3,actual_value,1.7083333333333333
return_count,month,2023,3,prediction,1.4852021933962039
return_count,month,2023,4,actual_value,1.8222222222222222
return_count,month,2023,4,prediction,1.8273028000028222
return_count,month,2023,5,actual_value,1.9516129032258065
return_count,month,2023,5,prediction,1.9070450656471774
return_count,month,2023,6,actual_value,2.1194444444444445
return_count,month,2023,6,prediction,2.188705089389852
return_count,month,2023,7,actual_value,1.553763440860215
return_count,month,2023,7,prediction,1.8568822085973038
return_count,month,2023,8,actual_value,1.663978494623656
return_count,month,2023,8,prediction,1.8289105583391518
return_count,month,2023,9,actual_value,2.0027777777777778
return_count,month,2023,9,prediction,1.9544475365536766
return_count,month,2023,10,actual_value,2.3131720430107525
return_count,month,2023,10,prediction,2.0244229824857296
return_count,month,2023,11,actual_value,1.7638888888888888
return_count,month,2023,11,prediction,1.5712652043447835
return_count,month,2023,12,actual_value,0.8938172043010753
return_count,month,2023,12,prediction,0.8900630280161831
return_count,hour,2024,0,actual_value,0.8060109289617486
return_count,hour,2024,0,prediction,0.7685958054701314
return_count,hour,2024,1,actual_value,0.6967213114754098
return_count,hour,2024,1,prediction,0.6903461998604682
return_count,hour,2024,2,actual_value,0.35792349726775957
return_count,hour,2024,2,prediction,0.508545760199474
return_count,hour,2024,3,actual_value,0.19398907103825136
return_count,hour,2024,3,prediction,0.1983089684673078
return_count,hour,2024,4,actual_value,0.08196721311475409
return_count,hour,2024,4,prediction,0.09411375705324579
return_count,hour,2024,5,actual_value,0.10655737704918032
return_count,hour,2024,5,prediction,0.10457931274298037
return_count,hour,2024,6,actual_value,0.6284153005464481
return_count,hour,2024,6,prediction,0.48706772993964065
return_count,hour,2024,7,actual_value,1.5628415300546448
return_count,hour,2024,7,prediction,1.4231740018172436
return_count,hour,2024,8,actual_value,1.7650273224043715
return_count,hour,2024,8,prediction,1.9697753754883291
return_count,hour,2024,9,actual_value,1.96448087431694
return_count,hour,2024,9,prediction,2.1712898398642473
return_count,hour,2024,10,actual_value,1.3169398907103824
return_count,hour,2024,10,prediction,1.6887184393043222
return_count,hour,2024,11,actual_value,1.6994535519125684
return_count,hour,2024,11,prediction,1.8148787086994846
return_count,hour,2024,12,actual_value,2.297814207650273
return_count,hour,2024,12,prediction,2.6007915970342697
return_count,hour,2024,13,actual_value,2.4371584699453552
return_count,hour,2024,13,prediction,2.5539337116845604
return_count,hour,2024,14,actual_value,2.1748633879781423
return_count,hour,2024,14,prediction,2.1674449426189257
return_count,hour,2024,15,actual_value,1.7978142076502732
return_count,hour,2024,15,prediction,2.243634147577978
return_count,hour,2024,16,actual_value,2.3360655737704916
return_count,hour,2024,16,prediction,2.704357503560039
return_count,hour,2024,17,actual_value,3.3633879781420766
return_count,hour,2024,17,prediction,3.5656551791437714
return_count,hour,2024,18,actual_value,3.480874316939891
return_count,hour,2024,18,prediction,3.2803650320238424
return_count,hour,2024,19,actual_value,2.259562841530055
return_count,hour,2024,19,prediction,2.398178329894062
return_count,hour,2024,20,actual_value,2.0327868852459017
return_count,hour,2024,20,prediction,1.9327927730919194
return_count,hour,2024,21,actual_value,1.784153005464481
return_count,hour,2024,21,prediction,1.8677385918269538
return_count,hour,2024,22,actual_value,1.5901639344262295
return_count,hour,2024,22,prediction,1.5020290778313783
return_count,hour,2024,23,actual_value,1.0163934426229508
return_count,hour,2024,23,prediction,0.9479499414129032
return_count,month,2024,1,actual_value,1.0362903225806452
return_count,month,2024,1,prediction,0.979058901207891
return_count,month,2024,2,actual_value,1.0517241379310345
return_count,month,2024,2,prediction,1.1126062981240505
return_count,month,2024,3,actual_value,1.353494623655914
return_count,month,2024,3,prediction,1.5065344575463144
return_count,month,2024,4,actual_value,1.9416666666666667
return_count,month,2024,4,prediction,1.8466851240097735
return_count,month,2024,5,actual_value,2.0120967741935485
return_count,month,2024,5,prediction,1.9298258627738791
return_count,month,2024,6,actual_value,2.2875
return_count,month,2024,6,prediction,2.220806053893479
return_count,month,2024,7,actual_value,1.6478494623655915
return_count,month,2024,7,prediction,1.8742876504486652
return_count,month,2024,8,actual_value,1.7150537634408602
return_count,month,2024,8,prediction,1.8530691682515608
return_count,month,2024,9,actual_value,1.8138888888888889
return_count,month,2024,9,prediction,1.9804045216447128
return_count,month,2024,10,actual_value,1.8064516129032258
return_count,month,2024,10,prediction,2.0460581951368546
return_count,month,2024,11,actual_value,1.4166666666666667
return_count,month,2024,11,prediction,1.591964130712653
return_count,month,2024,12,actual_value,0.7970430107526881
return_count,month,2024,12,prediction,0.8990257493879971
return_count,hour,2025,0,actual_value,0.5698630136986301
return_count,hour,2025,0,prediction,0.6017655043951504
return_count,hour,2025,1,actual_value,0.46301369863013697
return_count,hour,2025,1,prediction,0.5469811989379725
return_count,hour,2025,2,actual_value,0.3972602739726027
return_count,hour,2025,2,prediction,0.4030725595117579
return_count,hour,2025,3,actual_value,0.1506849315068493
return_count,hour,2025,3,prediction,0.14226923432114283
return_count,hour,2025,4,actual_value,0.0958904109589041
return_count,hour,2025,4,prediction,0.05625800951371762
return_count,hour,2025,5,actual_value,0.14520547945205478
return_count,hour,2025,5,prediction,0.0630785247919777
return_count,hour,2025,6,actual_value,0.3013698630136986
return_count,hour,2025,6,prediction,0.3733019847380802
return_count,hour,2025,7,actual_value,0.7698630136986301
return_count,hour,2025,7,prediction,1.1361747113959273
return_count,hour,2025,8,actual_value,1.5726027397260274
return_count,hour,2025,8,prediction,1.5677379743261124
return_count,hour,2025,9,actual_value,1.5534246575342465
return_count,hour,2025,9,prediction,1.71927914161403
return_count,hour,2025,10,actual_value,1.3753424657534246
return_count,hour,2025,10,prediction,1.327424997562942
return_count,hour,2025,11,actual_value,1.295890410958904
return_count,hour,2025,11,prediction,1.4262518290936874
return_count,hour,2025,12,actual_value,1.9808219178082191
return_count,hour,2025,12,prediction,2.048557963418695
return_count,hour,2025,13,actual_value,1.893150684931507
return_count,hour,2025,13,prediction,2.0106557825651907
return_count,hour,2025,14,actual_value,1.441095890410959
return_count,hour,2025,14,prediction,1.7053402298463416
return_count,hour,2025,15,actual_value,1.4054794520547946
return_count,hour,2025,15,prediction,1.7655439678160487
return_count,hour,2025,16,actual_value,1.7616438356164383
return_count,hour,2025,16,prediction,2.12890752462908
return_count,hour,2025,17,actual_value,3.0273972602739727
return_count,hour,2025,17,prediction,2.8089891986481796
return_count,hour,2025,18,actual_value,2.6301369863013697
return_count,hour,2025,18,prediction,2.584706687153792
return_count,hour,2025,19,actual_value,1.915068493150685
return_count,hour,2025,19,prediction,1.8876719582629327
return_count,hour,2025,20,actual_value,1.5232876712328767
return_count,hour,2025,20,prediction,1.5196878325588306
return_count,hour,2025,21,actual_value,1.5616438356164384
return_count,hour,2025,21,prediction,1.470975927220738
return_count,hour,2025,22,actual_value,0.9013698630136986
return_count,hour,2025,22,prediction,1.1829792525316851
return_count,hour,2025,23,actual_value,0.4849315068493151
return_count,hour,2025,23,prediction,0.7409418295481613
return_count,month,2025,1,actual_value,0.7983870967741935
return_count,month,2025,1,prediction,0.7811441753591623
return_count,month,2025,2,actual_value,0.7872023809523809
return_count,month,2025,2,prediction,0.8781182590296444
return_count,month,2025,3,actual_value,1.0887096774193548
return_count,month,2025,3,prediction,1.184680373699917
return_count,month,2025,4,actual_value,1.3875
return_count,month,2025,4,prediction,1.447318833459143
return_count,month,2025,5,actual_value,1.2849462365591398
return_count,month,2025,5,prediction,1.515647454046207
return_count,month,2025,6,actual_value,1.5916666666666666
return_count,month,2025,6,prediction,1.7399404507794558
return_count,month,2025,7,actual_value,1.5053763440860215
return_count,month,2025,7,prediction,1.4706637082590368
return_count,month,2025,8,actual_value,1.4301075268817205
return_count,month,2025,8,prediction,1.4558974241246103
return_count,month,2025,9,actual_value,1.4222222222222223
return_count,month,2025,9,prediction,1.5451029966215613
return_count,month,2025,10,actual_value,1.299731182795699
return_count,month,2025,10,prediction,1.6080775469164144
return_count,month,2025,11,actual_value,1.3222222222222222
return_count,month,2025,11,prediction,1.2527160646972655
return_count,month,2025,12,actual_value,0.6760752688172043
return_count,month,2025,12,prediction,0.7142929023225102
