target,time,split,day_type,month,hour,actual_value,pattern_prior,prediction,abs_error
return_count,2025-05-16 17:00:00,test,weekday,5,17,0,3.060908336071243,3.6355011602469665,3.6355011602469665
return_count,2025-05-28 17:00:00,test,weekday,5,17,0,3.060908336071243,3.6355011602469665,3.6355011602469665
return_count,2025-11-09 15:00:00,test,offday,11,15,5,2.161570161322647,1.3754958017050205,3.6245041982949795
return_count,2025-10-06 17:00:00,test,offday,10,17,0,3.04464783362283,3.622429497274797,3.622429497274797
return_count,2025-10-07 17:00:00,test,offday,10,17,0,3.04464783362283,3.622429497274797,3.622429497274797
return_count,2025-10-26 17:00:00,test,offday,10,17,0,3.04464783362283,3.622429497274797,3.622429497274797
return_count,2025-09-16 00:00:00,test,weekday,9,0,5,1.4647216454090455,1.3798308182768335,3.6201691817231665
return_count,2025-05-10 17:00:00,test,offday,5,17,0,3.037742226345973,3.614371722924077,3.614371722924077
return_count,2025-07-13 18:00:00,test,offday,7,18,0,2.4813779618431098,3.6089889957523256,3.6089889957523256
return_count,2025-07-20 18:00:00,test,offday,7,18,0,2.4813779618431098,3.6089889957523256,3.6089889957523256
return_count,2025-03-28 02:00:00,test,weekday,3,2,4,0.8823843580547451,0.4008294135682552,3.599170586431745
return_count,2025-06-14 16:00:00,test,offday,6,16,6,3.2859111676408297,2.4059083330496054,3.5940916669503946
return_count,2025-04-25 08:00:00,test,weekday,4,8,8,1.7702744366295189,4.41002820150397,3.5899717984960304
return_count,2025-06-01 18:00:00,test,offday,6,18,1,3.156347688892694,4.587886969595173,3.587886969595173
return_count,2025-04-11 17:00:00,test,weekday,4,17,7,2.8731411068403214,3.416452571667012,3.583547428332988
return_count,2025-04-18 17:00:00,test,weekday,4,17,7,2.8731411068403214,3.416452571667012,3.583547428332988
return_count,2025-07-16 18:00:00,test,weekday,7,18,0,2.467686552506294,3.5806195459096166,3.5806195459096166
return_count,2025-06-10 22:00:00,test,weekday,6,22,6,2.1321584457038374,2.4273749048804527,3.5726250951195473
return_count,2025-06-13 18:00:00,test,weekday,6,18,1,3.138932023531564,4.554243099904582,3.554243099904582
return_count,2025-06-25 18:00:00,test,weekday,6,18,1,3.138932023531564,4.554243099904582,3.554243099904582
return_count,2025-01-25 17:00:00,test,offday,1,17,5,1.2001068300956628,1.470135775492826,3.529864224507174
return_count,2025-06-19 16:00:00,test,weekday,6,16,6,3.3888102772023583,2.4749543599335975,3.5250456400664025
return_count,2025-06-26 16:00:00,test,weekday,6,16,6,3.3888102772023583,2.4749543599335975,3.5250456400664025
return_count,2025-09-05 17:00:00,test,weekday,9,17,7,2.9346811106209723,3.4882449234238684,3.5117550765761316
return_count,2025-09-09 17:00:00,test,weekday,9,17,7,2.9346811106209723,3.4882449234238684,3.5117550765761316
return_count,2025-09-11 17:00:00,test,weekday,9,17,7,2.9346811106209723,3.4882449234238684,3.5117550765761316
return_count,2025-09-12 17:00:00,test,weekday,9,17,7,2.9346811106209723,3.4882449234238684,3.5117550765761316
return_count,2025-09-17 08:00:00,test,weekday,9,8,1,1.8081920645746279,4.511066427156349,3.511066427156349
return_count,2025-09-24 08:00:00,test,weekday,9,8,1,1.8081920645746279,4.511066427156349,3.511066427156349
return_count,2025-08-31 13:00:00,test,offday,8,13,5,2.326621928957392,1.5014950460757572,3.4985049539242428
return_count,2025-09-16 08:00:00,test,weekday,9,8,8,1.8081920645746279,4.511066427156349,3.488933572843651
return_count,2025-09-27 21:00:00,test,offday,9,21,6,2.0679812317922943,2.5182480029996954,3.4817519970003046
return_count,2025-09-07 17:00:00,test,offday,9,17,0,2.9124703361864186,3.4681988256067537,3.4681988256067537
return_count,2025-04-18 11:00:00,test,weekday,4,11,5,2.473598276834417,1.545305439832914,3.454694560167086
return_count,2025-04-21 11:00:00,test,weekday,4,11,5,2.473598276834417,1.545305439832914,3.454694560167086
return_count,2025-04-19 13:00:00,test,offday,4,13,5,2.4025316339067877,1.5464294164947079,3.453570583505292
return_count,2025-01-01 08:00:00,test,offday,1,8,4,0.3484994169083926,0.5518983428339272,3.448101657166073
return_count,2025-04-11 21:00:00,test,weekday,4,21,6,2.098540197241577,2.552689035198534,3.447310964801466
return_count,2025-05-11 14:00:00,test,offday,5,14,5,2.804063304600213,1.5548263073305948,3.445173692669405
return_count,2025-05-29 10:00:00,test,weekday,5,10,5,2.3937814748569424,1.5739189477439162,3.426081052256084
return_count,2025-04-14 17:00:00,test,weekday,4,17,0,2.8731411068403214,3.416452571667012,3.416452571667012
return_count,2025-06-20 07:00:00,test,weekday,6,7,0,1.7812495852401937,3.4057133103994115,3.4057133103994115
return_count,2025-07-02 19:00:00,test,weekday,7,19,6,2.302250068448873,2.59891682847538,3.40108317152462
return_count,2025-07-04 19:00:00,test,weekday,7,19,6,2.302250068448873,2.59891682847538,3.40108317152462
return_count,2025-03-10 20:00:00,test,weekday,3,20,5,1.7534900837265401,1.601912237399474,3.398087762600526
return_count,2025-03-11 20:00:00,test,weekday,3,20,5,1.7534900837265401,1.601912237399474,3.398087762600526
return_count,2025-04-05 17:00:00,test,offday,4,17,0,2.8513960903846254,3.3969346381745376,3.3969346381745376
return_count,2025-04-12 17:00:00,test,offday,4,17,0,2.8513960903846254,3.3969346381745376,3.3969346381745376
return_count,2025-04-13 17:00:00,test,offday,4,17,0,2.8513960903846254,3.3969346381745376,3.3969346381745376
return_count,2025-09-29 21:00:00,test,weekday,9,21,6,2.143488971725583,2.6078893394039704,3.3921106605960296
return_count,2025-10-08 17:00:00,test,offday,10,17,7,3.04464783362283,3.622429497274797,3.377570502725203
return_count,2025-04-11 14:00:00,test,weekday,4,14,5,2.9304206091249876,1.6304832398984337,3.3695167601015665
return_count,2025-07-03 07:00:00,test,weekday,7,7,6,1.400337954183938,2.63060982642993,3.36939017357007
return_count,2025-07-08 07:00:00,test,weekday,7,7,6,1.400337954183938,2.63060982642993,3.36939017357007
return_count,2025-05-27 17:00:00,test,weekday,5,17,7,3.060908336071243,3.6355011602469665,3.3644988397530335
return_count,2025-05-04 13:00:00,test,offday,5,13,5,2.559543312506319,1.6393716948370614,3.3606283051629386
return_count,2025-08-21 09:00:00,test,weekday,8,9,6,1.9436334619681273,2.641384570389642,3.358615429610358
return_count,2025-10-16 17:00:00,test,weekday,10,17,7,3.067866606162775,3.6436186536389243,3.3563813463610757
return_count,2025-11-11 20:00:00,test,weekday,11,20,5,1.809566651538268,1.6512207418377987,3.3487792581622013
return_count,2025-11-24 20:00:00,test,weekday,11,20,5,1.809566651538268,1.6512207418377987,3.3487792581622013
return_count,2025-11-03 08:00:00,test,weekday,11,8,0,1.3717343833550677,3.3480477450115904,3.3480477450115904
return_count,2025-11-25 08:00:00,test,weekday,11,8,0,1.3717343833550677,3.3480477450115904,3.3480477450115904
return_count,2025-09-12 14:00:00,test,weekday,9,14,5,2.9931874864409336,1.6613829488407081,3.338617051159292
return_count,2025-09-18 14:00:00,test,weekday,9,14,5,2.9931874864409336,1.6613829488407081,3.338617051159292
return_count,2025-11-20 17:00:00,test,weekday,11,17,6,2.226313820577703,2.661866136690232,3.338133863309768
return_count,2025-11-21 17:00:00,test,weekday,11,17,6,2.226313820577703,2.661866136690232,3.338133863309768
return_count,2025-09-07 12:00:00,test,offday,9,12,5,2.162004726829981,1.6668997538782862,3.333100246121714
return_count,2025-09-27 12:00:00,test,offday,9,12,5,2.162004726829981,1.6668997538782862,3.333100246121714
return_count,2025-01-14 18:00:00,test,weekday,1,18,5,1.1516547424030699,1.6717506992177749,3.3282493007822254
return_count,2025-01-24 18:00:00,test,weekday,1,18,5,1.1516547424030699,1.6717506992177749,3.3282493007822254
return_count,2025-06-03 19:00:00,test,offday,6,19,0,2.949790261695303,3.326691135405676,3.326691135405676
return_count,2025-06-08 19:00:00,test,offday,6,19,0,2.949790261695303,3.326691135405676,3.326691135405676
return_count,2025-01-20 08:00:00,test,weekday,1,8,5,0.7450800854034489,1.6782165400077496,3.3217834599922504
return_count,2025-01-21 08:00:00,test,weekday,1,8,5,0.7450800854034489,1.6782165400077496,3.3217834599922504
return_count,2025-03-01 00:00:00,test,offday,3,0,4,0.7770148330371284,0.6960690588131274,3.3039309411868727
return_count,2025-06-13 19:00:00,test,weekday,6,19,0,2.928494487556467,3.294488580306489,3.294488580306489
return_count,2025-06-20 19:00:00,test,weekday,6,19,0,2.928494487556467,3.294488580306489,3.294488580306489
return_count,2025-08-16 17:00:00,test,offday,8,17,0,2.761304191963714,3.291811343553296,3.291811343553296
return_count,2025-08-24 17:00:00,test,offday,8,17,0,2.761304191963714,3.291811343553296,3.291811343553296
return_count,2025-10-05 18:00:00,test,offday,10,18,1,2.937936368702512,4.271128468835325,3.2711284688353253
return_count,2025-12-02 17:00:00,test,weekday,12,17,5,1.4304371789537358,1.7333992484821659,3.266600751517834
return_count,2025-05-31 12:00:00,test,offday,5,12,5,2.254997405690538,1.7355889875504757,3.264411012449524
return_count,2025-05-03 18:00:00,test,offday,5,18,1,2.931272795154659,4.261464392976606,3.261464392976606
return_count,2025-05-04 18:00:00,test,offday,5,18,1,2.931272795154659,4.261464392976606,3.261464392976606
return_count,2025-05-06 18:00:00,test,offday,5,18,1,2.931272795154659,4.261464392976606,3.261464392976606
return_count,2025-05-11 18:00:00,test,offday,5,18,1,2.931272795154659,4.261464392976606,3.261464392976606
return_count,2025-05-25 18:00:00,test,offday,5,18,1,2.931272795154659,4.261464392976606,3.261464392976606
return_count,2025-08-04 08:00:00,test,weekday,8,8,1,1.7143413499356777,4.260984599858119,3.2609845998581193
return_count,2025-08-11 08:00:00,test,weekday,8,8,1,1.7143413499356777,4.260984599858119,3.2609845998581193
return_count,2025-08-12 08:00:00,test,weekday,8,8,1,1.7143413499356777,4.260984599858119,3.2609845998581193
return_count,2025-08-25 08:00:00,test,weekday,8,8,1,1.7143413499356777,4.260984599858119,3.2609845998581193
return_count,2025-10-25 12:00:00,test,offday,10,12,5,2.260123622905079,1.7393754784486681,3.260624521551332
return_count,2025-02-13 17:00:00,test,weekday,2,17,5,1.4363417559686882,1.7402875072405475,3.2597124927594523
return_count,2025-11-01 10:00:00,test,offday,11,10,4,1.128479860582498,0.7438989533215602,3.25610104667844
return_count,2025-11-15 10:00:00,test,offday,11,10,4,1.128479860582498,0.7438989533215602,3.25610104667844
return_count,2025-06-07 13:00:00,test,offday,6,13,5,2.7560753241404883,1.7557078367814736,3.2442921632185264
return_count,2025-10-15 18:00:00,test,weekday,10,18,1,2.9217258235747776,4.239191331989256,3.2391913319892556
return_count,2025-10-20 18:00:00,test,weekday,10,18,1,2.9217258235747776,4.239191331989256,3.2391913319892556
return_count,2025-10-23 18:00:00,test,weekday,10,18,1,2.9217258235747776,4.239191331989256,3.2391913319892556
return_count,2025-03-18 08:00:00,test,weekday,3,8,0,1.3292257771633589,3.2347760458751464,3.2347760458751464
return_count,2025-09-12 01:00:00,test,weekday,9,1,4,1.3055706732489045,0.7669309520539158,3.233069047946084
return_count,2025-05-01 18:00:00,test,weekday,5,18,1,2.915099017385421,4.22957932733191,3.22957932733191
return_count,2025-05-16 18:00:00,test,weekday,5,18,1,2.915099017385421,4.22957932733191,3.22957932733191
return_count,2025-05-29 18:00:00,test,weekday,5,18,1,2.915099017385421,4.22957932733191,3.22957932733191
return_count,2025-01-18 22:00:00,test,offday,1,22,4,0.7134645266473946,0.7823562583479945,3.2176437416520054
return_count,2025-08-22 19:00:00,test,weekday,8,19,6,2.472174629590205,2.7876526017069208,3.2123473982930792
return_count,2025-09-08 09:00:00,test,weekday,9,9,6,2.0500366525630045,2.7893776732750357,3.2106223267249643
return_count,2025-09-15 09:00:00,test,weekday,9,9,6,2.0500366525630045,2.7893776732750357,3.2106223267249643
return_count,2025-08-10 19:00:00,test,offday,8,19,6,2.49015208277211,2.816291265886872,3.183708734113128
return_count,2025-08-15 19:00:00,test,offday,8,19,6,2.49015208277211,2.816291265886872,3.183708734113128
return_count,2025-05-17 15:00:00,test,offday,5,15,5,2.971893748599413,1.8276058584542354,3.1723941415457646
return_count,2025-10-08 15:00:00,test,offday,10,15,5,2.978649664528811,1.831375238467593,3.1686247615324072
return_count,2025-04-11 15:00:00,test,weekday,4,15,5,2.973637616381991,1.834128638558697,3.1658713614413028
return_count,2025-08-11 18:00:00,test,weekday,8,18,7,2.6498216559929073,3.844801628945528,3.155198371054472
return_count,2025-10-10 07:00:00,test,weekday,10,7,0,1.6579915947248938,3.154900024360958,3.154900024360958
return_count,2025-10-13 07:00:00,test,weekday,10,7,0,1.6579915947248938,3.154900024360958,3.154900024360958
return_count,2025-07-13 00:00:00,test,offday,7,0,4,0.9332568890669024,0.8520553415638781,3.147944658436122
return_count,2025-03-15 11:00:00,test,offday,3,11,4,1.3469961490125943,0.8555561315316172,3.144443868468383
return_count,2025-03-29 11:00:00,test,offday,3,11,4,1.3469961490125943,0.8555561315316172,3.144443868468383
return_count,2025-08-30 22:00:00,test,offday,8,22,5,1.6415976801763705,1.859059488024815,3.140940511975185
return_count,2025-06-20 09:00:00,test,weekday,6,9,0,2.302393937335835,3.1403740804359885,3.1403740804359885
return_count,2025-09-12 15:00:00,test,weekday,9,15,5,3.037330161700686,1.8695327130523425,3.1304672869476575
return_count,2025-04-17 19:00:00,test,weekday,4,19,6,2.5528332206487314,2.87724036611807,3.12275963388193
return_count,2025-07-14 12:00:00,test,weekday,7,12,5,2.4093418840206056,1.8777278666188704,3.12227213338113
return_count,2025-06-01 17:00:00,test,offday,6,17,7,3.2709922704662397,3.8865384053699765,3.1134615946300235
return_count,2025-06-07 17:00:00,test,offday,6,17,7,3.2709922704662397,3.8865384053699765,3.1134615946300235
return_count,2025-06-26 08:00:00,test,weekday,6,8,2,2.0307785433057965,5.104187465681363,3.1041874656813633
return_count,2025-11-01 18:00:00,test,offday,11,18,0,2.1320250132391947,3.1023279117963716,3.1023279117963716
return_count,2025-11-02 18:00:00,test,offday,11,18,0,2.1320250132391947,3.1023279117963716,3.1023279117963716
return_count,2025-11-08 18:00:00,test,offday,11,18,0,2.1320250132391947,3.1023279117963716,3.1023279117963716
return_count,2025-11-23 18:00:00,test,offday,11,18,0,2.1320250132391947,3.1023279117963716,3.1023279117963716
