,반납대여소번호
1902,3636
1947,4909
1935,2331
1925,4914
1926,2319
1919,2314
1954,2362
1933,2344
1931,2309
1937,2364
1951,3614
1924,2404
1927,3618
1974,2409
1959,2431
1929,2336
1930,2375
1970,2431
1950,2320
1946,2412
2046,2357
1948,2412
1944,2369
1979,2349
1957,2340
2033,2359
2037,2326
2078,2375
1966,3641
1995,2326
1956,2325
2056,2427
2128,2332
1960,2409
1975,2337
1976,2308
2121,2359
1958,2430
1964,3638
2049,2429
1984,2388
1980,2304
2090,4906
2050,4907
1961,2332
1977,2324
2000,2369
2008,3641
1968,4906
1973,4918
1967,2336
2013,2377
1971,2339
1972,2384
2122,2359
2060,4918
2011,2426
2022,3636
2014,2413
1978,4917
2003,3630
2010,2381
2016,2427
2054,3623
1993,3630
2001,2404
1989,2384
1986,2312
2110,3624
1988,2302
1998,2386
2038,2329
1990,2427
1987,2407
2026,2423
2007,2394
1991,4913
2144,2321
2004,3602
2017,3618
1992,4926
3578,3644
3540,3641
3715,4906
3577,3644
3632,2362
3592,4925
3616,2411
3576,3644
3543,2321
3547,2387
3587,2389
3586,2389
3579,2415
3538,3611
3548,2301
3629,4923
3558,2340
3553,2387
3549,2301
3560,2340
3544,2315
3575,2327
3565,4918
3584,2403
3564,2415
3561,2321
3559,2412
3788,4913
3590,2384
3600,3616
3573,2377
3567,2348
3570,2414
3572,2431
3556,2384
3566,2321
3554,2390
3580,4901
3669,2430
3618,2362
3614,2415
3595,4905
3574,2425
3627,2340
3582,2339
3602,2342
3581,4918
3597,2407
3599,2429
3583,2398
3625,2415
3591,2342
3589,2384
3585,2328
3596,2326
3679,2305
3594,2431
3655,2332
3598,2394
3640,4915
3593,2365
3613,2349
3604,3641
3607,2335
3700,3628
3652,4930
3620,2325
3601,3611
3610,3614
3615,4918
3603,4923
3649,2342
3648,2342
3617,3651
3609,2334
3608,4919
3633,3642
3717,4913
3621,2358
3683,3627
3619,2389
3611,2403
3626,2390
3786,2388
3668,2306
3653,2410
3650,2340
3651,2340
3623,2306
3622,2429
3628,4902
3638,2314
3641,3614
3635,2335
3624,2357
3646,3640
3644,3640
3630,2324
3711,2415
3706,2423
3634,2411
3637,2332
3656,2376
3785,2388
3647,4926
3740,2313
3639,2320
3642,3618
3643,2333
3666,2359
3664,2359
3631,2336
3741,2313
3691,2415
3742,2313
3744,3651
3665,2404
3645,2306
3662,2308
3727,2335
3724,2337
3684,3627
3703,2332
3722,2331
3660,2377
3673,2410
3672,2410
3658,2306
3661,2332
3670,4911
3657,2348
3687,2414
3667,2371
3663,2401
3659,2377
3677,2349
3674,2340
3743,2401
3671,2419
3689,2409
3681,2414
3680,2342
3678,2335
3675,2349
3837,3636
3768,2306
3694,2423
3776,3614
3690,2389
3692,2423
3712,2327
3685,2370
3682,2336
3709,2328
3698,3623
3686,4913
3792,2307
3676,2403
3699,2332
3718,3614
3695,2303
3704,2427
3705,2319
3697,3649
3710,2414
3714,2308
3688,2363
3708,2368
3702,2385
3713,3647
3696,2312
3750,2326
3751,2326
3852,2369
3707,2313
3701,2349
3719,2350
3805,2431
3721,2382
3749,4914
3720,2372
3723,2369
3716,2408
3729,3637
3760,2414
3746,2321
3885,2330
3736,2407
3728,2387
3726,2306
3734,2384
3891,2360
3725,2382
3732,2372
3731,2372
3767,2307
3733,2407
3735,2413
3730,2422
3737,2331
3738,3618
3748,2390
3739,2330
3755,2357
3745,3614
3757,2324
3754,3628
3753,2393
3756,2325
3778,2369
3937,3643
3840,2359
3831,2388
3802,3614
3781,2341
3770,2423
3799,4924
3763,3615
3764,3622
3772,2390
3773,2384
3787,3614
3766,2308
3783,4916
3761,2385
3919,2332
3780,2356
3758,3640
3759,2324
3774,2412
3765,2325
3841,2403
3769,4923
3762,2411
3945,2372
3775,4901
3771,2411
3818,2404
3790,2383
3808,2307
3782,2320
3777,2380
3784,2404
3846,2356
3779,2326
3883,2369
3823,4913
3793,2372
3796,2372
3795,2372
3789,2404
3794,2420
3791,2371
3809,2407
3824,3604
3797,2384
3807,2430
3800,2310
3798,2315
3801,3614
3813,2332
3812,2306
3806,2348
3817,2307
3810,2340
3804,2339
3815,2359
3838,4902
3826,2301
3814,2407
3825,2415
3816,2427
3820,2330
3811,2301
3819,2431
3821,2324
3822,3649
3834,2325
3835,2404
3836,2404
3833,2325
3842,2414
3854,2387
3847,2327
3828,2306
3829,3628
3839,3648
3855,4926
3832,3606
3848,2415
3853,2349
3827,4916
3858,3614
3856,3614
3868,2324
3866,2412
3859,3614
3830,4916
3844,3636
3873,3642
3887,2411
3943,2431
3845,2377
3850,2377
3849,3612
3897,4907
3843,2341
3874,2370
3869,2418
3878,2383
3863,2423
3857,4918
3851,2321
3860,2419
3861,2419
3862,2373
3871,2404
3886,2326
3875,2344
3917,2372
3942,2372
3865,2365
3864,2371
3870,4901
5049,2389
5036,2401
5063,2359
5112,2340
5151,3612
5057,3615
5039,2372
5045,4911
5076,2315
5038,2413
5046,2359
5056,2357
5066,4918
5051,2359
5071,3614
5047,2356
5053,3649
5101,3641
5060,4924
5139,2301
5070,2335
5132,2301
5059,4901
5074,2370
5138,2301
5064,3651
5058,2420
5055,2404
5079,2413
5117,2401
5072,2306
5061,2332
5075,2372
5077,2365
5067,2415
5104,2422
5080,2362
5085,2377
5105,2308
5069,2408
5084,2350
5078,2326
5095,2363
5108,3611
5142,2404
5086,3643
5115,2413
5083,2394
5091,2340
5206,3638
5094,2359
5097,3622
5184,3612
5089,2388
5100,2321
5177,3651
5111,2390
5114,2341
5098,3636
5380,4907
5147,4917
5175,3651
5133,2331
5119,2404
5116,2326
5113,4919
5156,3616
5171,4906
5172,4906
5120,2390
5203,2415
5125,2327
5149,4923
5188,4906
5109,2431
5148,2348
5121,4907
5154,2422
5136,2337
5126,2328
5123,2356
5256,2427
5176,4905
5122,2310
5127,2404
5118,2339
5141,2306
5134,2385
5155,2340
5129,3641
5179,2415
5128,2376
5153,2422
5124,2390
5163,2384
5130,4917
5144,4913
5145,2342
5135,2370
5195,2357
5143,4901
5146,3636
5140,2344
5159,3646
5152,2318
5150,2318
5189,2415
5137,4906
5164,4903
5165,2423
5160,2350
5157,3640
5162,2384
5158,2333
5173,2329
5161,2303
5222,3636
5295,3636
5228,2365
5166,2389
5167,2387
5229,2365
5169,3606
5197,2429
5168,3636
5170,2423
5193,4905
5192,4905
5183,2394
5187,4913
5186,4918
5180,2368
5174,4917
5178,3651
5245,2408
5190,3618
5226,2308
5185,2321
5202,2426
5194,2365
5198,2382
5201,2336
5204,3628
5191,2429
5265,2387
5205,4917
5211,2350
5233,3641
5196,4903
5199,2426
5200,3604
5223,2333
5215,2415
5209,2384
5207,2415
5213,2413
5212,2413
5269,2416
5214,2344
5247,4913
5208,2305
5218,3614
5232,2342
5230,3644
5216,3606
5210,2342
5221,2426
5220,2335
5237,2342
5356,3643
5302,2351
5219,2335
5243,2415
5239,2412
5261,3609
5236,2365
5224,4914
5241,2414
5267,2307
5254,2308
5234,2302
5227,2302
5259,2331
5268,2305
5235,2303
5270,2375
5249,2423
5363,2325
5238,2404
5371,2365
5240,2372
5242,2362
5248,2380
5339,2340
5244,2389
5294,2332
5246,3649
5307,2339
5284,2308
5251,2431
5253,2431
5252,2384
5250,2422
5260,3610
5288,2413
5262,2377
5257,2386
5255,2427
5266,2372
5349,2308
5273,2414
5296,2342
5271,2384
5283,3614
5279,2415
5264,3614
5258,2431
5263,3638
5272,2414
5291,2390
5292,2390
5304,2303
5286,2431
5274,2413
5392,4918
5280,2306
5275,2306
5277,4914
5289,2387
5276,2427
5282,2342
5278,2303
5300,2326
5290,2376
5281,2370
5285,3646
5297,2380
5293,2429
5287,2387
5329,3642
5298,4913
5301,2404
5405,2369
5316,2348
5305,2389
5299,2431
5306,2384
5325,2404
7089,2382
7025,2335
7090,2363
7010,2409
7064,2407
7049,2413
7008,3623
7195,2385
7004,4916
7073,2414
7013,2348
7171,4905
7011,2312
7012,2335
7020,2412
7027,2332
7178,2315
7061,2416
7046,2368
7031,2411
7029,3646
7093,3618
7009,2323
7021,2330
7075,2334
7051,2404
7063,2344
7039,3647
7016,3604
7044,3618
7033,2375
7050,2375
7018,2332
7026,2332
7038,2426
7108,2315
7040,2375
7254,2306
7047,2405
7084,2370
7095,2423
7032,2385
7053,2331
7059,2306
7052,2333
7085,2357
7048,4928
7125,2375
7123,2332
7055,2420
7054,2420
7067,2303
7483,2339
7045,2421
7056,2303
7058,2342
7034,2306
7072,2375
7069,2427
7401,2414
7600,2308
7043,2333
7276,2342
7060,2409
7042,2313
7104,2408
7071,2303
7136,2365
7227,2404
7066,2413
7076,2353
7078,2319
7097,2423
7094,2340
7062,2385
7106,2407
7120,2306
7135,2342
7268,4913
7124,2340
7100,2409
7109,2359
7081,2303
7314,2369
7077,4914
7082,2427
7250,2410
7092,2415
7083,2403
7091,2431
7193,4924
7121,4923
