station_id,mapped_dong_code,mapped_dong_name,arrival_7_10_ratio,arrival_11_14_ratio,arrival_17_20_ratio,morning_net_inflow,evening_net_inflow,subway_distance_m,bus_stop_count_300m,life_pop_7_10_mean,life_pop_11_14_mean,life_pop_17_20_mean
2326,11680630,대치4동,0.1405672009864365,0.18865598027127,0.3176325524044389,-842.0,-1062.0,813.6697752894522,24,39589.97909316005,50739.38959329685,50623.27934124487
2327,11680640,역삼1동,0.3514735017335314,0.1736627043090639,0.2236874690440812,3382.0,-2262.0,708.8350334148257,48,112062.8253233242,150148.66741761286,117683.77599746925
2328,11680640,역삼1동,0.2999009410599306,0.2032359253755984,0.2173518243354796,739.0,-443.0,497.14653847414985,32,112062.8253233242,150148.66741761286,117683.77599746925
2329,11680650,역삼2동,0.272293158932835,0.2295235129243226,0.2025329596179798,810.0,-214.0,491.4633332632663,32,58832.34507924077,63507.11466898085,51546.29168211355
2330,11680640,역삼1동,0.1616907437132156,0.1882289994649545,0.3062600321027287,-217.0,-83.0,870.0485363673814,24,112062.8253233242,150148.66741761286,117683.77599746925
2331,11680650,역삼2동,0.2618317685380341,0.1843264993293734,0.2733282237976623,-39.0,-339.0,757.0745600229556,36,58832.34507924077,63507.11466898085,51546.29168211355
2332,11680650,역삼2동,0.1439182614336685,0.2236782354849172,0.3271813168991242,-1550.0,2299.0,83.24954956357365,36,58832.34507924077,63507.11466898085,51546.29168211355
2333,11680655,도곡1동,0.1083323313694841,0.1659252134182998,0.3914873151376698,-3212.0,-1006.0,77.10226190996563,52,39281.57394435705,39291.80882322161,35228.0752125855
2334,11680655,도곡1동,0.3259052924791086,0.2223769730733519,0.1912720519962859,312.0,-254.0,674.1851780358561,40,39281.57394435705,39291.80882322161,35228.0752125855
2335,11680656,도곡2동,0.3209378220542769,0.1665235314324974,0.2656589946181152,2844.0,-1277.0,20.048936576497542,44,30059.92420273598,30812.346695554035,27148.728534678525
2336,11680656,도곡2동,0.2054723799690242,0.2274135260712441,0.2257356737222509,-59.0,-165.0,526.6425846801769,36,30059.92420273598,30812.346695554035,27148.728534678525
2337,11680670,개포2동,0.1121709731948804,0.1448925380342912,0.3680270466070997,-1673.0,529.0,102.16525118204883,20,33161.69160892613,29830.0458876197,29875.256968433652
2339,11680690,개포4동,0.0967884339476879,0.1521907074274362,0.3852775631828716,-1948.0,713.0,637.2629266381015,20,16659.15076863885,15720.087848119014,14737.072746306429
2340,11680690,개포4동,0.2647268887991802,0.1304536844393379,0.2653790019563394,3313.0,-1128.0,1023.7301686184046,40,16659.15076863885,15720.087848119014,14737.072746306429
2341,11680720,일원본동,0.213029315960912,0.1819218241042345,0.2838762214983713,-820.0,-2311.0,63.51307280279197,36,26030.51044035568,24286.366290218877,20233.524569528046
2342,11680740,일원2동(현 개포3동),0.2164924416119379,0.1689270586406559,0.2862860917887537,-157.0,-1149.0,54.855485672527735,20,18222.674700478794,16404.544954240766,16417.981814261286
2344,11680700,세곡동,0.1240058601925491,0.158643784010046,0.3067182921724571,-463.0,674.0,2350.0345617595735,56,46016.29151874145,40696.17679541724,42582.81225133379
2347,11680531,논현2동,0.241002277904328,0.1480637813211845,0.2519362186788155,-121.0,-1173.0,523.587492317641,8,48771.59621426129,62230.2112386115,48357.27645215458
2348,11680580,삼성1동,0.5081910536673582,0.1582628583585979,0.1525184830594117,16019.0,-7627.0,584.3595573163827,48,44052.2044621751,68106.46228580711,46531.80653272913
2349,11680640,역삼1동,0.1981912641908793,0.2345583990763902,0.2405233788724264,-3425.0,-1500.0,212.59809288426536,20,112062.8253233242,150148.66741761286,117683.77599746925
