weight_lightgbm,weight_xgboost,weight_random_forest,rmse,mae,r2,exact_match_hits_rounded,exact_match_rate_rounded,bucket_accuracy_0_1_2_3plus,n_samples
0.2,0.15,0.65,0.9117463342016225,0.6375195847947739,0.27590657651084105,4669,0.5315346083788707,0.5398451730418944,8784
0.2,0.2,0.6,0.9111188050352713,0.6366910920801405,0.27690297946541564,4677,0.5324453551912568,0.5407559198542805,8784
0.2,0.25,0.55,0.9106906837267532,0.6359374003641133,0.277582365093179,4693,0.5342668488160291,0.5421220400728597,8784
0.2,0.3,0.5,0.9104622515752635,0.6352435110530448,0.2779447333941313,4687,0.5335837887067395,0.5413251366120219,8784
0.2,0.35,0.45,0.9104336588897027,0.6346226231896378,0.27799008436827266,4697,0.5347222222222222,0.5424635701275046,8784
0.2,0.4,0.4,0.9106049244947456,0.634112278483837,0.2777184180156026,4701,0.5351775956284153,0.542691256830601,8784
0.2,0.45,0.35,0.9109759356689218,0.633729720914875,0.27712973433612165,4710,0.5362021857923497,0.5438296903460837,8784
0.2,0.5,0.3,0.9115464485151867,0.6335032390799006,0.2762240333298296,4724,0.5377959927140255,0.5454234972677595,8784
0.2,0.55,0.25,0.9123160887611427,0.6333811283177577,0.2750013149967263,4726,0.538023679417122,0.5458788706739527,8784
0.2,0.6,0.2,0.9132843529827961,0.6333432043479917,0.27346157933681203,4720,0.5373406193078324,0.545195810564663,8784
0.2,0.65,0.15,0.9144506102425524,0.6334607682216002,0.27160482635008654,4734,0.5389344262295082,0.5466757741347905,8784
0.2,0.7,0.1,0.9158141041290774,0.6337391884747869,0.2694310560365498,4735,0.5390482695810564,0.5467896174863388,8784
0.2,0.75,0.05,0.9173739551837676,0.6341418257890457,0.2669402683962021,4734,0.5389344262295082,0.5471311475409836,8784
0.2,0.8,0.0,0.9191291636958706,0.63471022411438,0.2641324634290433,4725,0.5379098360655737,0.5461065573770492,8784
0.25,0.0,0.75,0.9137494180360489,0.6391980927187356,0.27272145134008363,4659,0.530396174863388,0.5389344262295082,8784
0.25,0.05,0.7,0.9126745261601502,0.6381690796816841,0.2744315175432134,4666,0.5311930783242259,0.5397313296903461,8784
0.25,0.1,0.65,0.9117979644751835,0.6372496507391852,0.2758245664195319,4667,0.5313069216757741,0.5395036429872495,8784
0.25,0.15,0.6,0.9111203054040214,0.6363847296867068,0.27690059796903943,4671,0.5317622950819673,0.5398451730418944,8784
0.25,0.2,0.55,0.9106419929900792,0.6356126398166475,0.27765961219173585,4697,0.5347222222222222,0.542691256830601,8784
0.25,0.25,0.5,0.910363341448548,0.6349082780629518,0.27810160908762116,4696,0.5346083788706739,0.5423497267759563,8784
0.25,0.3,0.45,0.9102845341368734,0.6342755072324848,0.27822658865669525,4708,0.5359744990892532,0.5437158469945356,8784
0.25,0.35,0.4,0.9104056229523189,0.6337408951770022,0.27803455089895834,4712,0.5364298724954463,0.543943533697632,8784
0.25,0.4,0.35,0.9107265281612321,0.6333473710883202,0.2775254958144102,4713,0.5365437158469946,0.5443989071038251,8784
0.25,0.45,0.3,0.9112470386613168,0.633089812215342,0.276699423403051,4713,0.5365437158469946,0.5442850637522769,8784
0.25,0.5,0.25,0.9119668126749043,0.63293930286884,0.27555633366488064,4717,0.5369990892531876,0.54474043715847,8784
0.25,0.55,0.2,0.9128853788679194,0.6328808249285245,0.2740962265998993,4720,0.5373406193078324,0.5450819672131147,8784
0.25,0.6,0.15,0.9140021378860238,0.6329552772608172,0.27231910220810673,4736,0.5391621129326047,0.5470173041894353,8784
0.25,0.65,0.1,0.9153163642963104,0.6332037457381801,0.2702249604895032,4750,0.5407559198542805,0.5484972677595629,8784
0.25,0.7,0.05,0.9168272089199828,0.6335807583835301,0.2678138014440884,4744,0.5400728597449909,0.5479280510018215,8784
0.25,0.75,0.0,0.9185337015387037,0.6340955720017121,0.2650856250718625,4734,0.5389344262295082,0.5470173041894353,8784
0.3,0.0,0.7,0.9128980268256118,0.6379848145617296,0.27407611177709745,4659,0.530396174863388,0.53882058287796,8784
0.3,0.05,0.65,0.9119715613116203,0.637031263840087,0.275548789248349,4669,0.5315346083788707,0.5397313296903461,8784
0.3,0.1,0.6,0.9112438726703237,0.6361515775203186,0.2767044493927895,4678,0.5325591985428051,0.5406420765027322,8784
0.3,0.15,0.55,0.910715437387695,0.6353386594436351,0.27754309221041873,4688,0.5336976320582878,0.5415528233151184,8784
0.3,0.2,0.5,0.9103866024345417,0.6346297193659654,0.278064717701237,4698,0.5348360655737705,0.542691256830601,8784
0.3,0.25,0.45,0.910257584130642,0.6339803695845906,0.2782693258652441,4705,0.5356329690346083,0.5433743169398907,8784
0.3,0.3,0.4,0.9103284674343616,0.6334311725526186,0.27815691670244,4715,0.536771402550091,0.5443989071038251,8784
0.3,0.35,0.35,0.9105992056631887,0.6330112534400539,0.27772749021282506,4716,0.5368852459016393,0.5448542805100182,8784
