source_year,station_id,station_name,주소,latitude,longitude,total_return_count,return_7_10_count,return_11_14_count,return_17_20_count,arrival_7_10_ratio,arrival_11_14_ratio,arrival_17_20_ratio,dominant_window,district_hypothesis
2025,2339, 현대아파트 정문 앞,서울특별시 강남구 언주로 107,37.48326111,127.0522995,4381,362,625,1629,0.08262953663547136,0.14266149280986076,0.3718329148596211,return_17_20_count,주거지구 후보
2025,2340, 삼호물산버스정류장(23370) 옆,서울특별시 강남구 논현로 82,37.47750854,127.04517365,14451,4307,2218,3294,0.29804165801674626,0.1534841879454709,0.22794270292713306,return_7_10_count,업무/상업지구 후보
2025,2341, 일원역 4~5번 출구 사이,서울특별시 강남구 일원로 127,37.4833107,127.08493805,3030,581,576,886,0.19174917491749174,0.1900990099009901,0.29240924092409243,return_17_20_count,주거지구 후보
2025,2342, 대청역 1번출구 뒤,서울특별시 강남구 개포로 623,37.49400711,127.07951355,11905,2613,1897,3502,0.21948761024779503,0.15934481310373794,0.29416211675766485,return_17_20_count,주거지구 후보
2025,2344, 리엔파크 2단지 앞,서울특별시 강남구 헌릉로590길 10,37.46506119,127.10119629,5033,602,749,1507,0.11961057023643949,0.14881780250347706,0.29942380290085435,return_17_20_count,주거지구 후보
2025,2347, 두산건설 본사,서울특별시 강남구 언주로 726,37.51863861,127.03540039,1298,511,217,314,0.39368258859784283,0.16718027734976887,0.24191063174114022,return_7_10_count,업무/상업지구 후보
2025,2348, 포스코사거리(기업은행),서울특별시 강남구 테헤란로 501,37.50723267,127.05685425,16555,8981,2490,2335,0.5424947145877378,0.15040773180308065,0.14104500151011778,return_7_10_count,업무/상업지구 후보
2025,2349, 역삼빌딩 앞(하나은행 옆),서울특별시 강남구 테헤란로 지하 156,37.50154495,127.03856659,1948,443,450,496,0.22741273100616016,0.23100616016427106,0.2546201232032854,return_17_20_count,주거지구 후보
2025,2350, 래미안그레이튼102동앞,서울특별시 강남구 선릉로69길 19,37.49482346,127.04790497,2132,376,345,694,0.17636022514071295,0.16181988742964354,0.325515947467167,return_17_20_count,주거지구 후보
2025,2351, 청소년수련관(수영장)앞,서울특별시 강남구 광평로 144,37.48387909,127.0890274,2545,515,339,906,0.20235756385068762,0.13320235756385068,0.35599214145383107,return_17_20_count,주거지구 후보
2025,2352, 서울본부세관(건설회관 앞),서울특별시 강남구 언주로 721,37.51758957,127.03502655,1098,250,394,214,0.22768670309653916,0.3588342440801457,0.19489981785063754,return_11_14_count,점심 상권/업무지구 후보
2025,2353, 강남구청역 2번출구 뒤,서울특별시 강남구 학동로 342,37.51681137,127.04047394,3763,324,681,1551,0.08610151474887058,0.18097262822216317,0.4121711400478342,return_17_20_count,주거지구 후보
2025,2354, 청담역 2번출구,서울특별시 강남구 영동대로 647,37.51978683,127.0567627,1269,124,234,456,0.09771473601260836,0.18439716312056736,0.35933806146572106,return_17_20_count,주거지구 후보
2025,2356, 강남구청,서울특별시 강남구 학동로 지하 346,37.51807022,127.04711914,2451,341,469,899,0.1391268869849041,0.19135046919624643,0.3667890656874745,return_17_20_count,주거지구 후보
