station_id,station_name,target,feature_set,alpha,split,rmse,mae,r2
2348, 포스코사거리(기업은행),return_count,all_extended,1000.0,train,2.1634567247214633,1.2799402366560249,0.6926087287927836
2348, 포스코사거리(기업은행),return_count,all_extended,1000.0,valid,2.3197010932931588,1.3763751642237763,0.7106089259207407
2348, 포스코사거리(기업은행),return_count,all_extended,1000.0,test,2.0927702997295112,1.2269968004094631,0.6842751437956407
2335, 3호선 매봉역 3번출구앞,rental_count,baseline,0.001,train,1.7525983536809326,1.192613110704447,0.486997854271233
2335, 3호선 매봉역 3번출구앞,rental_count,baseline,0.001,valid,1.8078502144915578,1.2319135164063302,0.5365417489324993
2335, 3호선 매봉역 3번출구앞,rental_count,baseline,0.001,test,1.7195770294892077,1.1629207114430498,0.5367210223011156
2335, 3호선 매봉역 3번출구앞,rental_count,baseline_plus_weekday,0.001,train,1.7326081968214118,1.1779927567481627,0.49863373086007623
2335, 3호선 매봉역 3번출구앞,rental_count,baseline_plus_weekday,0.001,valid,1.7829289770286818,1.215998758742046,0.5492312349463305
2335, 3호선 매봉역 3번출구앞,rental_count,baseline_plus_weekday,0.001,test,1.6856777678796635,1.1380805428687586,0.5548068827472342
2335, 3호선 매봉역 3번출구앞,rental_count,baseline_plus_season,0.001,train,1.7523061937257816,1.1923283547606511,0.487168875990052
2335, 3호선 매봉역 3번출구앞,rental_count,baseline_plus_season,0.001,valid,1.8055848618752786,1.2339186042709285,0.5377025072291118
2335, 3호선 매봉역 3번출구앞,rental_count,baseline_plus_season,0.001,test,1.7182937147482666,1.1638653912704107,0.5374122514605335
2335, 3호선 매봉역 3번출구앞,rental_count,baseline_plus_quarter,100.0,train,1.7516518190393167,1.1906163891306405,0.48755182395613383
2335, 3호선 매봉역 3번출구앞,rental_count,baseline_plus_quarter,100.0,valid,1.8119779937857423,1.2363247303716713,0.5344229479948116
2335, 3호선 매봉역 3번출구앞,rental_count,baseline_plus_quarter,100.0,test,1.7185130959786614,1.1628977386275043,0.53729412317206
2335, 3호선 매봉역 3번출구앞,rental_count,baseline_plus_rush_hour,10.0,train,1.751496384794549,1.1896915176646856,0.48764276493009684
2335, 3호선 매봉역 3번출구앞,rental_count,baseline_plus_rush_hour,10.0,valid,1.8052714887031083,1.2275991667597044,0.5378629638911723
2335, 3호선 매봉역 3번출구앞,rental_count,baseline_plus_rush_hour,10.0,test,1.7194712569100654,1.1604633206308241,0.5367780138803357
2335, 3호선 매봉역 3번출구앞,rental_count,baseline_plus_month_day_type,100.0,train,1.72750116549025,1.181938512009376,0.5015850265979389
2335, 3호선 매봉역 3번출구앞,rental_count,baseline_plus_month_day_type,100.0,valid,1.806868875259825,1.2227020730382423,0.5370447622023279
2335, 3호선 매봉역 3번출구앞,rental_count,baseline_plus_month_day_type,100.0,test,1.7292168145925064,1.1607323867956878,0.5315122675391899
2335, 3호선 매봉역 3번출구앞,rental_count,all_extended,10.0,train,1.71087192550362,1.171024556502167,0.5111345079085275
2335, 3호선 매봉역 3번출구앞,rental_count,all_extended,10.0,valid,1.7941914225751088,1.222528620069956,0.5435183958738952
2335, 3호선 매봉역 3번출구앞,rental_count,all_extended,10.0,test,1.7023186439543618,1.1498275340384458,0.5459736748605405
2335, 3호선 매봉역 3번출구앞,return_count,baseline,10.0,train,1.7980701094702602,1.2518097722302473,0.5024774325699082
2335, 3호선 매봉역 3번출구앞,return_count,baseline,10.0,valid,1.8421194013159654,1.2837691217158753,0.5397059285569588
2335, 3호선 매봉역 3번출구앞,return_count,baseline,10.0,test,1.892655245999823,1.28187594389793,0.5552045683191813
2335, 3호선 매봉역 3번출구앞,return_count,baseline_plus_weekday,10.0,train,1.7868191038025125,1.242281887791293,0.5086842164598888
2335, 3호선 매봉역 3번출구앞,return_count,baseline_plus_weekday,10.0,valid,1.831153147245296,1.272999585265554,0.5451699360324602
2335, 3호선 매봉역 3번출구앞,return_count,baseline_plus_weekday,10.0,test,1.8818782934403504,1.2744241023777036,0.5602555588256478
