year,month,year_month,hour,feature,hourly_mean
2023,6.0,2023-06,6,bike_change_lag_1,0.043064182194616975
2023,6.0,2023-06,7,bike_change_lag_1,0.25838509316770186
2023,6.0,2023-06,8,bike_change_lag_1,0.5542443064182194
2023,6.0,2023-06,9,bike_change_lag_1,0.42732919254658386
2023,6.0,2023-06,10,bike_change_lag_1,-0.386128364389234
2023,6.0,2023-06,11,bike_change_lag_1,-0.18426501035196688
2023,6.0,2023-06,12,bike_change_lag_1,0.12339544513457557
2023,6.0,2023-06,13,bike_change_lag_1,0.05031055900621118
2023,6.0,2023-06,14,bike_change_lag_1,-0.08281573498964803
2023,6.0,2023-06,15,bike_change_lag_1,-0.02091097308488613
2023,6.0,2023-06,16,bike_change_lag_1,0.12360248447204969
2023,6.0,2023-06,17,bike_change_lag_1,0.2567287784679089
2023,6.0,2023-06,18,bike_change_lag_1,0.5374741200828157
2023,6.0,2023-06,19,bike_change_lag_1,0.12339544513457557
2023,6.0,2023-06,20,bike_change_lag_1,-0.45652173913043476
2023,6.0,2023-06,21,bike_change_lag_1,-0.2165631469979296
2023,6.0,2023-06,22,bike_change_lag_1,-0.12318840579710146
2023,6.0,2023-06,23,bike_change_lag_1,-0.22939958592132506
2023,7.0,2023-07,0,bike_change_lag_1,-0.24323782809056302
2023,7.0,2023-07,1,bike_change_lag_1,-0.1212181927469445
2023,7.0,2023-07,2,bike_change_lag_1,-0.09236625926668002
2023,7.0,2023-07,3,bike_change_lag_1,-0.08234822680825486
2023,7.0,2023-07,4,bike_change_lag_1,-0.0723301943498297
2023,7.0,2023-07,5,bike_change_lag_1,-0.04888799839711481
2023,7.0,2023-07,6,bike_change_lag_1,0.037467441394510116
2023,7.0,2023-07,7,bike_change_lag_1,0.2007613704668403
2023,7.0,2023-07,8,bike_change_lag_1,0.47064716489681424
2023,7.0,2023-07,9,bike_change_lag_1,0.3632538569424965
2023,7.0,2023-07,10,bike_change_lag_1,-0.394109396914446
2023,7.0,2023-07,11,bike_change_lag_1,-0.16189140452815068
2023,7.0,2023-07,12,bike_change_lag_1,0.05489881787216991
2023,7.0,2023-07,13,bike_change_lag_1,0.026848326988579443
2023,7.0,2023-07,14,bike_change_lag_1,-0.050090162292125824
2023,7.0,2023-07,15,bike_change_lag_1,-0.02063714686435584
2023,7.0,2023-07,16,bike_change_lag_1,0.025045081146062912
2023,7.0,2023-07,17,bike_change_lag_1,0.1650971749148467
2023,7.0,2023-07,18,bike_change_lag_1,0.454217591664997
2023,7.0,2023-07,19,bike_change_lag_1,0.22139851733119614
2023,7.0,2023-07,20,bike_change_lag_1,-0.3015427769985975
2023,7.0,2023-07,21,bike_change_lag_1,-0.17751953516329394
2023,7.0,2023-07,22,bike_change_lag_1,-0.08855940693247846
2023,7.0,2023-07,23,bike_change_lag_1,-0.16529753556401522
2023,8.0,2023-08,0,bike_change_lag_1,-0.32538569424964936
2023,8.0,2023-08,1,bike_change_lag_1,-0.09657383289921859
2023,8.0,2023-08,2,bike_change_lag_1,-0.10919655379683431
2023,8.0,2023-08,3,bike_change_lag_1,-0.12161891404528151
2023,8.0,2023-08,4,bike_change_lag_1,-0.06451612903225806
2023,8.0,2023-08,5,bike_change_lag_1,-0.047685834502103785
2023,8.0,2023-08,6,bike_change_lag_1,0.06231216189140453
2023,8.0,2023-08,7,bike_change_lag_1,0.24143458224804648
2023,8.0,2023-08,8,bike_change_lag_1,0.3955119214586255
2023,8.0,2023-08,9,bike_change_lag_1,0.4293728711681026
2023,8.0,2023-08,10,bike_change_lag_1,-0.3608495291524745
2023,8.0,2023-08,11,bike_change_lag_1,-0.212983370066119
2023,8.0,2023-08,12,bike_change_lag_1,0.05269485073131637
2023,8.0,2023-08,13,bike_change_lag_1,0.04728511320376678
2023,8.0,2023-08,14,bike_change_lag_1,-0.0791424564215588
2023,8.0,2023-08,15,bike_change_lag_1,-0.07092766980565017
2023,8.0,2023-08,16,bike_change_lag_1,0.14846724103386094
2023,8.0,2023-08,17,bike_change_lag_1,0.17491484672410337
2023,8.0,2023-08,18,bike_change_lag_1,0.4528150671208175
2023,8.0,2023-08,19,bike_change_lag_1,0.2977359246643959
2023,8.0,2023-08,20,bike_change_lag_1,-0.4067321178120617
2023,8.0,2023-08,21,bike_change_lag_1,-0.19655379683430174
2023,8.0,2023-08,22,bike_change_lag_1,-0.033660589060308554
2023,8.0,2023-08,23,bike_change_lag_1,-0.16088960128230814
2023,9.0,2023-09,0,bike_change_lag_1,-0.3604554865424431
2023,9.0,2023-09,1,bike_change_lag_1,-0.15942028985507245
2023,9.0,2023-09,2,bike_change_lag_1,-0.11511387163561076
2023,9.0,2023-09,3,bike_change_lag_1,-0.10910973084886129
2023,9.0,2023-09,4,bike_change_lag_1,-0.06273291925465839
2023,9.0,2023-09,5,bike_change_lag_1,-0.03768115942028986
2023,9.0,2023-09,6,bike_change_lag_1,0.05010351966873706
2023,9.0,2023-09,7,bike_change_lag_1,0.23457556935817805
2023,9.0,2023-09,8,bike_change_lag_1,0.5217391304347826
2023,9.0,2023-09,9,bike_change_lag_1,0.4194616977225673
2023,9.0,2023-09,10,bike_change_lag_1,-0.33892339544513456
2023,9.0,2023-09,11,bike_change_lag_1,-0.21614906832298136
2023,9.0,2023-09,12,bike_change_lag_1,0.153416149068323
2023,9.0,2023-09,13,bike_change_lag_1,0.08612836438923395
2023,9.0,2023-09,14,bike_change_lag_1,-0.07204968944099378
2023,9.0,2023-09,15,bike_change_lag_1,-0.03954451345755693
2023,9.0,2023-09,16,bike_change_lag_1,0.21469979296066252
2023,9.0,2023-09,17,bike_change_lag_1,0.18426501035196688
2023,9.0,2023-09,18,bike_change_lag_1,0.47329192546583854
2023,9.0,2023-09,19,bike_change_lag_1,0.19875776397515527
2023,9.0,2023-09,20,bike_change_lag_1,-0.5857142857142857
2023,9.0,2023-09,21,bike_change_lag_1,-0.20165631469979295
2023,9.0,2023-09,22,bike_change_lag_1,-0.05879917184265011
2023,9.0,2023-09,23,bike_change_lag_1,-0.20186335403726707
2023,10.0,2023-10,0,bike_change_lag_1,-0.362652774994991
2023,10.0,2023-10,1,bike_change_lag_1,-0.12622720897615708
2023,10.0,2023-10,2,bike_change_lag_1,-0.10538970146263274
2023,10.0,2023-10,3,bike_change_lag_1,-0.10739330795431777
2023,10.0,2023-10,4,bike_change_lag_1,-0.07553596473652574
2023,10.0,2023-10,5,bike_change_lag_1,-0.03406131035864556
2023,10.0,2023-10,6,bike_change_lag_1,0.06231216189140453
2023,10.0,2023-10,7,bike_change_lag_1,0.22760969745541976
2023,10.0,2023-10,8,bike_change_lag_1,0.663594470046083
2023,10.0,2023-10,9,bike_change_lag_1,0.6000801442596674
2023,10.0,2023-10,10,bike_change_lag_1,-0.5005009016229213
2023,10.0,2023-10,11,bike_change_lag_1,-0.2666800240432779
2023,10.0,2023-10,12,bike_change_lag_1,0.20336605890603085
2023,10.0,2023-10,13,bike_change_lag_1,0.1087958324984973
2023,10.0,2023-10,14,bike_change_lag_1,-0.0002003606491685033
2023,10.0,2023-10,15,bike_change_lag_1,0.04107393307954318
2023,10.0,2023-10,16,bike_change_lag_1,0.20456822280104187
2023,10.0,2023-10,17,bike_change_lag_1,0.210979763574434
2023,10.0,2023-10,18,bike_change_lag_1,0.484472049689441
2023,10.0,2023-10,19,bike_change_lag_1,0.05509917852133841
2023,10.0,2023-10,20,bike_change_lag_1,-0.754357844119415
2023,10.0,2023-10,21,bike_change_lag_1,-0.24443999198557403
2023,10.0,2023-10,22,bike_change_lag_1,-0.08635543979162492
2023,10.0,2023-10,23,bike_change_lag_1,-0.19014225606090965
2023,11.0,2023-11,0,bike_change_lag_1,-0.22857142857142856
2023,11.0,2023-11,1,bike_change_lag_1,-0.08467908902691511
2023,11.0,2023-11,2,bike_change_lag_1,-0.06273291925465839
2023,11.0,2023-11,3,bike_change_lag_1,-0.07412008281573498
2023,11.0,2023-11,4,bike_change_lag_1,-0.05341614906832298
2023,11.0,2023-11,5,bike_change_lag_1,-0.02422360248447205
2023,11.0,2023-11,6,bike_change_lag_1,0.04575569358178054
2023,11.0,2023-11,7,bike_change_lag_1,0.2080745341614907
2023,11.0,2023-11,8,bike_change_lag_1,0.5057971014492754
2023,11.0,2023-11,9,bike_change_lag_1,0.6447204968944099
2023,11.0,2023-11,10,bike_change_lag_1,-0.4575569358178054
2023,11.0,2023-11,11,bike_change_lag_1,-0.372463768115942
2023,11.0,2023-11,12,bike_change_lag_1,0.07412008281573498
2023,11.0,2023-11,13,bike_change_lag_1,0.120703933747412
2023,11.0,2023-11,14,bike_change_lag_1,-0.011387163561076604
2023,11.0,2023-11,15,bike_change_lag_1,-0.022774327122153208
2023,11.0,2023-11,16,bike_change_lag_1,0.09606625258799172
2023,11.0,2023-11,17,bike_change_lag_1,0.11366459627329192
2023,11.0,2023-11,18,bike_change_lag_1,0.3944099378881988
2023,11.0,2023-11,19,bike_change_lag_1,0.18198757763975154
2023,11.0,2023-11,20,bike_change_lag_1,-0.6180124223602484
