,반납대여소번호
5785,2408
5862,3643
5809,3614
5776,2405
5827,3651
6034,3643
5780,4905
5784,2416
5783,2317
5897,2408
5828,2426
5796,3629
5822,4901
5797,2306
5937,2375
5905,4917
5788,2420
5777,2356
5787,2380
5790,2353
5772,2382
5773,2320
5815,4917
5824,4906
5779,2335
5769,4906
5775,3641
5806,2335
5813,2301
5830,3623
6005,3612
5810,2389
5931,2360
5792,2332
5832,2398
5794,4906
5954,2331
5859,3612
5823,2342
5781,2362
5993,2384
5816,2431
5801,2419
5807,2333
5892,3620
5825,3616
5998,2423
5864,4909
5871,4905
5814,2335
5910,2377
5866,2427
5854,2335
6003,2317
6985,2416
6986,2416
5811,2306
5786,2421
5889,2418
5844,3642
5812,2328
5923,3638
5808,2312
5858,2302
5861,3627
5831,2311
5829,3628
5826,3646
5821,2419
6095,4907
6054,2328
5944,2362
5843,2415
5877,2328
5840,2317
5878,2301
5872,2333
6165,2350
5925,4906
5836,2431
5837,4923
6467,2380
5846,2306
5847,2420
5819,2314
5890,2353
5915,3641
5833,3604
6526,3642
5855,2344
5850,2415
5939,2303
5856,2306
6536,2340
6104,2377
5835,2418
5881,3643
5838,2336
6059,2317
6035,2404
6688,2382
6072,2336
5985,3627
6240,3651
5845,2423
5849,2422
5842,2353
6523,2306
6063,2308
5865,2377
6019,2304
5924,2384
6386,4903
6012,2382
5875,2385
5879,2385
5867,2320
5896,2405
5887,3628
6031,2390
5857,2413
6014,3644
5928,2389
5886,2332
5870,2318
5885,2305
6434,4906
5907,2414
6589,2317
5902,2340
5860,2371
6002,2351
6580,2418
5927,2377
6237,2320
5992,2426
6082,3651
5898,2387
5900,2421
5884,4908
5972,4905
5973,4905
6010,3612
5882,2416
5888,2417
6232,2418
6327,2325
6024,2375
6015,2375
6123,2306
6191,3612
6190,2364
5989,2412
5876,2315
5971,2384
6663,3651
5976,2362
6252,2415
5895,2317
5893,2310
5901,2418
5906,3628
5960,3641
6000,4903
6033,2412
6214,2330
5953,3640
5899,3651
5961,2384
5956,2390
5965,2365
5932,2418
5918,2404
6037,3641
5913,2364
5934,2308
5940,2335
5891,3628
5986,2427
5917,2332
5952,3643
6822,2381
6217,2333
6088,2301
5909,4924
5945,2306
5926,2342
6036,4924
6695,3628
6728,2324
5919,2353
5943,2353
6146,2340
5970,3643
5908,2350
5946,3649
5936,2335
5911,2327
5933,3627
5920,3611
6429,2301
5949,3612
6283,2308
6052,3604
6329,2423
5904,2369
5938,2332
6144,2350
5981,3606
6674,2427
5929,4906
5912,2369
5935,3620
6053,2423
5957,3622
6171,4903
6797,3628
6132,3627
6180,2350
5921,2306
5974,2311
6215,3629
5948,3643
6074,2324
6249,4906
5942,3616
5966,3618
5947,2404
5987,2306
5959,2339
6349,2403
6048,2431
6136,2413
5975,2404
6089,2403
6170,4903
6007,2376
5990,2381
5983,2423
6196,3637
5930,2369
6067,2310
5982,2306
6009,2428
5958,2420
5988,2342
6292,2356
6330,2340
6069,2372
5941,2377
5978,3611
6022,2329
6006,2332
6001,2387
6021,2319
6008,2362
6704,3630
5995,4916
6068,3644
5951,2356
5968,2404
6117,2327
5999,2342
6122,3627
6047,2339
6684,3627
6154,4906
6334,3628
6025,3612
6366,2312
5997,2328
6542,2337
6011,2377
6185,3627
5977,3646
6056,2426
6187,3627
6694,2409
5963,2301
6018,2342
6351,2306
5994,2420
6546,2337
6149,2349
5979,2317
6070,2342
6043,2369
6091,2415
6030,2348
5984,3637
6028,2348
6017,2332
6086,2385
6090,3604
5996,3627
6027,2369
6062,2332
6044,2335
6032,2302
6016,2404
6058,3649
6398,2412
6077,2405
