rackTotCnt,stationName,parkingBikeTotCnt,shared,stationLatitude,stationLongitude,stationId,station_num
10,434. 신당 래미안 버스정류장,11,110,37.56148911,127.02393341,ST-1669,434
10,435. SK 남산빌딩,1,10,37.55686188,126.97561646,ST-1670,435
10,436. 이대역 5번출구,0,0,37.55659103,126.94618988,ST-1675,436
11,437. 대흥역 1번출구,12,109,37.54846954,126.94092560,ST-1691,437
15,438. 성산2-1 공영주차장,13,87,37.56472015,126.90676880,ST-1692,438
15,440. 하늘공원 입구,16,107,37.57012177,126.88134766,ST-1754,440
13,442.서울역 서부,20,154,37.55641556,126.96919250,ST-1768,442
13,446. 상명대입구,2,15,37.60012817,126.95783234,ST-938,446
6,447. 신영동삼거리,1,17,37.60399246,126.96194458,ST-939,447
10,449. 일성아파트,18,180,37.60871887,126.97286224,ST-941,449
51,450. 효자동 삼거리,0,0,37.58360291,126.97254944,ST-978,450
8,451. 청와대앞길,0,0,37.58351517,126.97966766,ST-979,451
13,452. 동대문 종합시장 버스정류장,11,85,37.57123947,127.00440979,ST-1605,452
10,453. 종로오가 지하쇼핑센터 14번출구,7,70,37.57114029,127.00067139,ST-1606,453
8,455. 종로6가역 버스정류장(동대문 방향),5,63,37.57096100,127.00605774,ST-1608,455
10,456. 숭인2동 주민센터 입구,9,90,37.57447052,127.01982880,ST-1609,456
10,457. 종로꽃시장 입구 옆,7,70,37.57131958,127.00720978,ST-1610,457
10,464. 삼청동 골목,0,0,37.58419037,126.98169708,ST-1756,464
5,465. 삼청공원 앞,0,0,37.58760452,126.98359680,ST-1759,465
11,469.회현역 1번출구,8,73,37.55923080,126.98014069,ST-1775,469
12,472.삼일교(시그니쳐 타워),2,17,37.56787109,126.98840332,ST-1778,472
20,473.을지로4가역 9번출구,7,35,37.56605148,126.99798584,ST-1779,473
40,474.동대문역사문화공원역 1번출구 뒤편,2,5,37.56629944,127.00849152,ST-1780,474
21,475.DDP 패션몰,1,5,37.56764984,127.01181030,ST-1781,475
10,476.광희문,2,20,37.56443024,127.00995636,ST-1782,476
10,477.앰배서더 호텔 주변,12,120,37.55928802,127.00268555,ST-1783,477
8,479.동대입구역 3번 출구,4,50,37.55937576,127.00602722,ST-1785,479
8,480.약수역 6번 출구,6,75,37.55432129,127.01070404,ST-1786,480
12,483.남산타운아파트 버스정류장,0,0,37.54758453,127.00643921,ST-1789,483
10,485.서울역5번출구,14,140,37.55677032,126.97319794,ST-1791,485
5,486. 평창동주민센터 앞,16,320,37.60627365,126.96832275,ST-2019,486
10,488.푸르메병원,25,250,37.58456802,126.88021088,ST-2147,488
10,489.구룡근린공원,8,80,37.58320236,126.88276672,ST-2148,489
23,490.가온문화공원,27,117,37.58207703,126.88766479,ST-2149,490
10,491.월드컵파크 4단지,15,150,37.57597733,126.88806915,ST-2150,491
7,493.홍대입구역 6번출구,5,71,37.55657578,126.92885590,ST-2152,493
5,494.신수동주민센터,5,100,37.54724503,126.93502808,ST-2153,494
10,495.염리초등학교 앞,12,120,37.54243088,126.94699860,ST-2154,495
25,497.합정동주민센터 앞,45,180,37.55175400,126.91230011,ST-2156,497
10,498.연남동주민센터 앞,5,50,37.56465149,126.92212677,ST-2157,498
5,500. 어린이대공원역 3번출구 앞,5,100,37.54705048,127.07433319,ST-97,500
30,501. 광진문화예술회관 앞,42,140,37.53730774,127.07035065,ST-98,501
33,502. 자양(뚝섬한강공원)역 1번출구 앞,27,82,37.53186035,127.06719208,ST-99,502
11,505. 자양사거리 광진아크로텔 앞,19,173,37.53701019,127.08224487,ST-102,505
7,506. 금호 어울림 아파트 앞,3,43,37.54906082,127.05779266,ST-103,506
10,508. 성수아카데미타워 앞,39,390,37.54516983,127.05757141,ST-105,508
15,510. 뚝도아리수정수센터 버스정류소 옆,16,107,37.54122162,127.04380035,ST-107,510
16,511. 서울숲역 5번 출구 옆,3,19,37.54458237,127.04460907,ST-108,511
15,512. 뚝섬역 1번 출구 옆,26,173,37.54856110,127.04500580,ST-109,512
13,513. 뚝섬역 5번 출구 정류소 옆,1,8,37.54630661,127.04980469,ST-111,513
12,514. 성수사거리 버스정류장 앞,7,58,37.54257965,127.06330872,ST-112,514
15,515. 광양중학교 앞,9,60,37.53023529,127.08683014,ST-113,515
10,516. 광진메디칼 앞,8,80,37.54840469,127.06936646,ST-114,516
20,518. 청계천 박물관 앞,1,5,37.57152557,127.03535461,ST-234,518
20,519. 양지사거리,15,75,37.56699371,127.02991486,ST-235,519
7,520. 상왕십리역 4번 출구 앞,12,171,37.56385803,127.03031921,ST-236,520
14,521. 왕십리역 11번 출구 앞,19,136,37.56144714,127.03491974,ST-237,521
5,522. 금호역 1번출구 앞,1,20,37.54864120,127.01642609,ST-238,522
7,523. 옥수동성당 옆,1,14,37.54366302,127.01406097,ST-239,523
10,524. 래미안금호하이리버 아파트 102동 옆,17,170,37.55220032,127.02505493,ST-240,524
20,525. 한양대병원사거리,13,65,37.55805206,127.04035187,ST-241,525
10,526. 용답토속공원 앞,5,50,37.56351089,127.05672455,ST-242,526
8,529. 장한평역 8번 출구 앞,33,413,37.56137085,127.06365967,ST-243,529
9,530. 청계벽산아파트 앞,18,200,37.56874847,127.03040314,ST-244,530
7,533. 금남시장 교차로,13,186,37.54814911,127.02108765,ST-245,533
10,534. 금호사거리,20,200,37.54863358,127.02572632,ST-246,534
11,535. 응봉삼거리,13,118,37.55398560,127.03359222,ST-247,535
8,536. 행당역 2번출구 앞,2,25,37.55735016,127.02921295,ST-248,536
