target,time,split,day_type,month,hour,actual_value,pattern_prior,prediction,abs_error
rental_count,2025-05-22 14:00:00,test,weekday,5,14,6,3.7791546060344507,2.51136628174433,3.48863371825567
rental_count,2025-08-16 20:00:00,test,offday,8,20,5,1.7697009683470841,1.5137457385962592,3.486254261403741
rental_count,2025-08-17 20:00:00,test,offday,8,20,5,1.7697009683470841,1.5137457385962592,3.486254261403741
rental_count,2025-08-24 20:00:00,test,offday,8,20,5,1.7697009683470841,1.5137457385962592,3.486254261403741
rental_count,2025-09-24 17:00:00,test,weekday,9,17,2,3.529735734425995,5.479321949313174,3.4793219493131744
rental_count,2025-10-07 18:00:00,test,offday,10,18,0,2.441625425752303,3.477690613749716,3.477690613749716
rental_count,2025-10-11 18:00:00,test,offday,10,18,0,2.441625425752303,3.477690613749716,3.477690613749716
rental_count,2025-09-14 21:00:00,test,offday,9,21,5,1.6964283442700887,1.5300262271162766,3.4699737728837237
rental_count,2025-03-04 18:00:00,test,weekday,3,18,0,2.4011695003370055,3.46344807352643,3.46344807352643
rental_count,2025-03-12 18:00:00,test,weekday,3,18,0,2.4011695003370055,3.46344807352643,3.46344807352643
rental_count,2025-04-14 17:00:00,test,weekday,4,17,2,3.5094047285249776,5.450041846068636,3.450041846068636
rental_count,2025-09-22 10:00:00,test,weekday,9,10,5,2.316870446045971,1.5682296923060248,3.4317703076939754
rental_count,2025-01-19 12:00:00,test,offday,1,12,4,0.8316478403021105,0.5684809905727501,3.43151900942725
rental_count,2025-11-19 13:00:00,test,weekday,11,13,5,2.4748880702240625,1.5687210433115177,3.431278956688482
rental_count,2025-08-10 14:00:00,test,offday,8,14,5,2.3770730982264223,1.583182525252411,3.416817474747589
rental_count,2025-03-22 16:00:00,test,offday,3,16,5,1.9706368273264028,1.5864846999291025,3.4135153000708973
rental_count,2025-08-12 16:00:00,test,weekday,8,16,6,3.206313367765213,2.5876495671865376,3.4123504328134624
rental_count,2025-11-04 19:00:00,test,weekday,11,19,6,2.3101808814953295,2.5938323335675832,3.4061676664324168
rental_count,2025-11-07 19:00:00,test,weekday,11,19,6,2.3101808814953295,2.5938323335675832,3.4061676664324168
rental_count,2025-11-13 19:00:00,test,weekday,11,19,6,2.3101808814953295,2.5938323335675832,3.4061676664324168
rental_count,2025-11-26 19:00:00,test,weekday,11,19,6,2.3101808814953295,2.5938323335675832,3.4061676664324168
rental_count,2025-03-22 23:00:00,test,offday,3,23,4,0.7819484511022186,0.5942165377394266,3.4057834622605734
rental_count,2025-11-05 21:00:00,test,weekday,11,21,5,1.7901578087365881,1.6016472653842995,3.3983527346157008
rental_count,2025-10-23 18:00:00,test,weekday,10,18,8,3.274250874976729,4.601946376186034,3.398053623813966
rental_count,2025-11-07 18:00:00,test,weekday,11,18,7,2.507964674361354,3.602709003710779,3.397290996289221
rental_count,2025-09-12 19:00:00,test,weekday,9,19,0,3.0826617656738002,3.3879636842840863,3.3879636842840863
rental_count,2025-09-19 19:00:00,test,weekday,9,19,0,3.0826617656738002,3.3879636842840863,3.3879636842840863
rental_count,2025-09-24 19:00:00,test,weekday,9,19,0,3.0826617656738002,3.3879636842840863,3.3879636842840863
rental_count,2025-03-25 12:00:00,test,weekday,3,12,5,2.1705371165467047,1.6134210488350813,3.3865789511649185
rental_count,2025-07-13 00:00:00,test,offday,7,0,4,0.7116504620104666,0.6158498893693611,3.384150110630639
rental_count,2025-04-09 19:00:00,test,weekday,4,19,0,3.0649058713904154,3.3697101422233793,3.3697101422233793
rental_count,2025-04-14 19:00:00,test,weekday,4,19,0,3.0649058713904154,3.3697101422233793,3.3697101422233793
rental_count,2025-04-30 19:00:00,test,weekday,4,19,0,3.0649058713904154,3.3697101422233793,3.3697101422233793
rental_count,2025-10-28 17:00:00,test,weekday,10,17,2,3.453447343283079,5.369453702759149,3.3694537027591487
rental_count,2025-06-05 20:00:00,test,weekday,6,20,6,3.1200738377527144,2.6362893622694017,3.3637106377305983
rental_count,2025-10-12 12:00:00,test,offday,10,12,5,2.273149496852834,1.6518003354067938,3.3481996645932064
rental_count,2025-04-16 18:00:00,test,weekday,4,18,8,3.327304678720416,4.671128547821236,3.328871452178764
rental_count,2025-07-07 22:00:00,test,weekday,7,22,5,1.728405488246202,1.6784645425378597,3.32153545746214
rental_count,2025-04-27 12:00:00,test,offday,4,12,5,2.309982113500435,1.6794808350814738,3.320519164918526
rental_count,2025-10-10 19:00:00,test,weekday,10,19,0,3.016036011159836,3.3194705972597385,3.3194705972597385
rental_count,2025-10-13 19:00:00,test,weekday,10,19,0,3.016036011159836,3.3194705972597385,3.3194705972597385
rental_count,2025-10-17 19:00:00,test,weekday,10,19,0,3.016036011159836,3.3194705972597385,3.3194705972597385
rental_count,2025-05-14 10:00:00,test,weekday,5,10,5,2.5002387661720302,1.692059193672783,3.307940806327217
