cluster,cluster_name,best_model,feature,importance_mean,importance_std
1,아침 도착 업무 집중형,xgboost_regularized,bike_count_index_lag_168,0.007460236549377441,0.0034339427947998047
1,아침 도착 업무 집중형,xgboost_regularized,weekday,0.007270216941833496,0.0005468130111694336
1,아침 도착 업무 집중형,xgboost_regularized,bike_count_index_lag_1,0.006751537322998047,0.0011780261993408203
1,아침 도착 업무 집중형,xgboost_regularized,bike_change_rollstd_168,0.005412280559539795,0.015617549419403076
1,아침 도착 업무 집중형,xgboost_regularized,dayofyear,0.0047092437744140625,0.0012034177780151367
1,아침 도착 업무 집중형,xgboost_regularized,bike_change_lag_2,0.004558086395263672,0.00028884410858154297
1,아침 도착 업무 집중형,xgboost_regularized,lcd_count,0.0036554932594299316,0.0005324482917785645
1,아침 도착 업무 집중형,xgboost_regularized,weekday_sin,0.003214418888092041,0.0003497004508972168
1,아침 도착 업무 집중형,xgboost_regularized,lon,0.0030595064163208008,0.0005437135696411133
1,아침 도착 업무 집중형,xgboost_regularized,weekday_cos,0.0022678375244140625,0.00017464160919189453
1,아침 도착 업무 집중형,xgboost_regularized,bike_count_index_lag_24,0.001772165298461914,0.0017933845520019531
1,아침 도착 업무 집중형,xgboost_regularized,month_cos,0.0014693737030029297,0.00047957897186279297
1,아침 도착 업무 집중형,xgboost_regularized,rental_count_lag_24,0.0012394189834594727,2.872943878173828e-05
1,아침 도착 업무 집중형,xgboost_regularized,rain_x_commute,0.001119077205657959,0.0008553862571716309
1,아침 도착 업무 집중형,xgboost_regularized,bike_index_rollmean_3,0.0010530948638916016,0.0013124942779541016
1,아침 도착 업무 집중형,xgboost_regularized,bike_index_rollmean_24,0.0008952617645263672,0.0006999969482421875
1,아침 도착 업무 집중형,xgboost_regularized,bike_count_index_lag_2,0.0008345246315002441,0.0007912516593933105
1,아침 도착 업무 집중형,xgboost_regularized,weekofyear,0.0007746219635009766,0.0011217594146728516
1,아침 도착 업무 집중형,xgboost_regularized,is_rainy,0.00027567148208618164,0.0003445744514465332
1,아침 도착 업무 집중형,xgboost_regularized,is_holiday_eve,0.000244140625,0.00036597251892089844
1,아침 도착 업무 집중형,xgboost_regularized,is_lunch_hour,0.0001417994499206543,0.00020116567611694336
1,아침 도착 업무 집중형,xgboost_regularized,is_weekend,0.0001328587532043457,0.00016742944717407227
1,아침 도착 업무 집중형,xgboost_regularized,heavy_rain,0.0,0.0
1,아침 도착 업무 집중형,xgboost_regularized,rain_x_night,0.0,0.0
1,아침 도착 업무 집중형,xgboost_regularized,year,0.0,0.0
1,아침 도착 업무 집중형,xgboost_regularized,dock_total,0.0,0.0
1,아침 도착 업무 집중형,xgboost_regularized,is_qr_mixed,0.0,0.0
1,아침 도착 업무 집중형,xgboost_regularized,is_night_hour,-9.5367431640625e-07,1.52587890625e-05
1,아침 도착 업무 집중형,xgboost_regularized,month_sin,-0.00043761730194091797,0.0001825094223022461
1,아침 도착 업무 집중형,xgboost_regularized,qr_count,-0.000489652156829834,0.0002701878547668457
1,아침 도착 업무 집중형,xgboost_regularized,month,-0.0004946589469909668,0.0004113316535949707
1,아침 도착 업무 집중형,xgboost_regularized,bike_index_rollmean_168,-0.0006153583526611328,0.001128077507019043
1,아침 도착 업무 집중형,xgboost_regularized,is_holiday,-0.0008562207221984863,0.0005461573600769043
1,아침 도착 업무 집중형,xgboost_regularized,wind_speed,-0.0009548664093017578,0.0002912282943725586
1,아침 도착 업무 집중형,xgboost_regularized,temperature,-0.0013725757598876953,0.0004928112030029297
1,아침 도착 업무 집중형,xgboost_regularized,day,-0.002438187599182129,0.0007808208465576172
1,아침 도착 업무 집중형,xgboost_regularized,bike_change_rollmean_168,-0.0027450919151306152,0.0012503266334533691
2,주거 도착형,lightgbm_regularized,hour,0.05756457693984596,0.015201961846431966
2,주거 도착형,lightgbm_regularized,hour_sin,0.05283993991703617,0.015635833812402633
2,주거 도착형,lightgbm_regularized,bike_change_lag_168,0.038220057615467096,0.002011922672436106
