target,feature,importance_mean,importance_std
bike_change,day,-0.00012123692706230334,5.003600682007192e-05
bike_change,rental_count_lag_24,-0.000272837558859577,3.712137735471353e-05
bike_change,month_cos,-0.000287142004181599,0.0001379112155564813
bike_change,temp_x_commute,-0.0003697920143401016,0.0005376828452133877
bike_change,lat,-0.0015820470678361935,0.0003268106563181896
bike_change,qr_count,-0.0017753895709389234,0.0002872669036487515
bike_count_index,bike_count_index_lag_1,2171.7337926875516,7.609243670054005
bike_count_index,bike_count_index_lag_2,1037.6072146238275,3.6425172661643024
bike_count_index,bike_index_rollmean_3,946.4878177422801,3.324242531674481
bike_count_index,bike_index_rollmean_24,204.05824973393965,0.726996909887542
bike_count_index,bike_index_rollmean_168,9.91171841842632,0.02875955360222168
bike_count_index,bike_count_index_lag_168,8.166619849823297,0.022893464431697184
bike_count_index,bike_count_index_lag_24,0.9810045440524086,0.0146431956322043
bike_count_index,dayofyear,0.10295364297478098,0.0032655660142356345
bike_count_index,month,0.09932802093715505,0.004153426565690877
bike_count_index,bike_change_lag_1,0.09697761935698897,0.006543540820351671
bike_count_index,bike_change_lag_168,0.05596643680242989,0.0011652498028314547
bike_count_index,return_count_lag_1,0.026955025343653977,0.0010422380197909174
bike_count_index,rental_count_lag_1,0.020773813595994877,0.00207276779218771
bike_count_index,bike_change_lag_24,0.017624706781658544,0.0018872728907718792
bike_count_index,return_count_lag_24,0.010419920988889034,0.0003745551471359863
bike_count_index,bike_change_lag_2,0.009552810607529475,0.0009224249491395006
bike_count_index,bike_change_rollmean_3,0.004890656490899185,0.00034919535684668394
bike_count_index,bike_change_rollstd_24,0.002021016009941349,0.0006281154596212574
bike_count_index,day,0.0010761004089259174,0.00016142817877135948
bike_count_index,hour_cos,0.00047582087759308794,0.0002637955558774163
bike_count_index,hour,0.00029075197539622327,0.00013127593884582392
bike_count_index,is_night_hour,0.0002641667101663063,0.00010048931162472013
bike_count_index,is_weekend_or_holiday,0.00022984039393514344,0.00017213445118597004
bike_count_index,is_weekend,0.00016991048395550065,9.171890097915057e-05
bike_count_index,cluster_0,0.0001447224344985898,5.0351514895610225e-05
bike_count_index,rental_count_lag_24,0.00014011432419658298,0.0004942199099340422
bike_count_index,weekday_sin,8.138164779773287e-05,0.00013917660774005714
bike_count_index,cluster,7.80746554100246e-05,7.559077652909048e-06
bike_count_index,hour_sin,6.36631364284342e-05,0.00013918043653465945
bike_count_index,weekofyear,5.193180222954711e-05,5.9932630419636614e-05
bike_count_index,is_lunch_hour,4.6683910658910456e-05,3.225962154892028e-05
bike_count_index,weekday_cos,2.7647925168035787e-05,8.50679562675604e-06
bike_count_index,cluster_4,2.753176576009153e-05,1.972531229079017e-05
bike_count_index,is_holiday_eve,1.4241287283149143e-05,9.16686261573017e-06
bike_count_index,weekday,7.050058494773026e-07,2.457840778234894e-06
bike_count_index,year,0.0,0.0
bike_count_index,cluster_2,-2.3703425815480017e-06,2.609914149827718e-06
bike_count_index,is_commute_hour,-5.037681153267452e-06,2.281785400263771e-06
bike_count_index,month_cos,-1.0214575376791638e-05,5.061204754534394e-06
bike_count_index,month_sin,-2.0466262197723257e-05,3.6837529447366496e-05
bike_count_index,bike_change_rollmean_168,-3.619532402147444e-05,1.6598636589756724e-05
bike_count_index,is_holiday,-5.3523780548644005e-05,5.880981795877512e-05
bike_count_index,station_id,-6.546346996165002e-05,3.3947711264425746e-05
bike_count_index,cluster_3,-0.00010328180030882983,7.766043291072109e-05
bike_count_index,cluster_1,-0.00014642211098266542,3.135846818187483e-05
bike_count_index,bike_change_rollmean_24,-0.0002410237590494043,8.335672751949497e-05
bike_count_index,bike_change_rollstd_168,-0.000301900561625823,0.00019250736443825366
